locationname,locationstatus,method,locationid,locationparentname,locationparentid,locationtype,locationtypecode,locationadminlevel,locationphysicaltype,locationphysicaltypecode,longitude,latitude
CSB Ambohijanaka,active,create,2a1dfa24-14e9-44b4-87ec-d9679c3c88b8,,20d64c1d-131d-42a7-a90a-e698b242084d,CSB2,csb2,5,Building,bu,47.562,-18.622
CSB Ambohijoky,active,create,d686cdcc-7d2e-46a6-9259-3b4c8deadc81,,9d01b32d-c239-4146-b063-21ef4113e92f,CSB1,csb1,5,Building,bu,,
CSB Ambohikambana,active,create,b380c6e9-291c-49d6-a995-45ddd87e298f,,d492534f-8d4e-4ffd-92f4-f15098b599dd,CSB1,csb1,5,Building,bu,46.883,-15.924
CSB Ambohimahazo,active,create,0597ede0-59a9-43f6-8a79-374ade5a1ed8,,d78a96e7-5fb9-4f6e-a627-d0977be8c1d1,CSB1,csb1,5,Building,bu,47.073,-20.205
CSB Ambohimandry,active,create,247206fb-f241-4da8-90a5-d1c2e8fed17d,,4ccfcff8-9a13-458c-8fbd-72ad2ae62961,CSB1,csb1,5,Building,bu,47.371,-23.102
CSB Ambohimandry,active,create,c9b053c1-ccd8-4d23-a83c-2db79034c50d,,19191ef6-0c25-4b1c-9e15-1ca81c3429f7,CSB1,csb1,5,Building,bu,47.371,-23.102
CSB Ambohimangakely,active,create,a9198f0f-38e4-404e-96b2-d0c1ab94b2eb,,72dbcef1-7bd3-4a75-ad24-19cd70d7c4a8,CSB2,csb2,5,Building,bu,47.594,-19.068
CSB Ambohimanga Rova,active,create,822e782b-e4e6-4cfa-b3e8-a33da391320d,,611d8b2e-ace3-40a7-bf5e-3a5edfaf39c7,CSB2,csb2,5,Building,bu,47.567,-18.956
CSB Ambohimanjaka,active,create,27aab07f-1c5e-4832-86a8-630230ff1160,,8fea7ea8-417e-4f47-8347-cfa622be1bd8,CSB2,csb2,5,Building,bu,47.092,-20.542
CSB Ambohimarina,active,create,2a4a2997-82d0-4b75-9643-ed41fc80971b,,c7c410c5-a3d8-42a7-8133-2d4d50ef093d,CSB2,csb2,5,Building,bu,48.497,-19.044
CSB Ambohimarina,active,create,7a3abac5-7b02-45aa-9cc6-01633dad873c,,19b02dea-8964-405d-8bff-d9780a02cce8,CSB2,csb2,5,Building,bu,46.693,-16.757
CSB Ambohimarina,active,create,8211762e-b74a-4785-ba18-d644c1a40487,,6e48f984-7345-46c5-9225-72bd329bff44,CSB1,csb1,5,Building,bu,,
CSB Ambohimasina,active,create,36840aac-b52f-4d91-be33-63293ed8d745,,e110d76e-fc48-4718-8051-0f037981338a,CSB2,csb2,5,Building,bu,46.823,-19.214
CSB Ambohimasina,active,create,73712667-632c-4110-a9e9-40662ceb17a6,,460c2bec-03b1-4c85-a28e-cb38f4cbadfc,CSB2,csb2,5,Building,bu,48.425,-17.836
CSB Ambohimasina,active,create,b3aae29a-783e-4505-8592-74805a6bb787,,b885171f-3bfd-4cdd-b0ed-e1f8cc8551fb,CSB1,csb1,5,Building,bu,47.269,-22.768
CSB Ambohimasina,active,create,ff81da12-7038-42c2-9a53-1488b3aef0ae,,7919cbbb-8017-4cd3-809f-be2ab34aafb3,CSB2,csb2,5,Building,bu,46.764,-19.874
CSB Ambohimena,active,create,da325c1f-7e58-44b6-8e2c-985e2489419b,,c7c410c5-a3d8-42a7-8133-2d4d50ef093d,CSB2,csb2,5,Building,bu,,
