locationname,locationstatus,method,locationid,locationparentname,locationparentid,locationtype,locationtypecode,locationadminlevel,locationphysicaltype,locationphysicaltypecode,longitude,latitude
EPP Ambalamahogo,active,create,a6c878e0-3890-49e0-bf20-429c4212118d,,34c4bebd-d4f5-4c03-85ad-5111659f853b,EPP,epp,5,Building,bu,,
EPP Ambalamainty,active,create,c04d615a-1ad5-4db3-b20f-35464f97c344,,67549f20-ca9c-4f98-8c68-10dfc69193f9,EPP,epp,5,Building,bu,,
EPP Ambalamanga,active,create,590bc94b-8fe5-4c49-b556-5789d6b2e5f1,,a1c6c3a9-a14d-4211-8a08-e6819cd565fe,EPP,epp,5,Building,bu,,
EPP Ambalamanga,active,create,5e41ba40-8496-46b4-b11d-74af051812f8,,2cffa3f2-651d-4522-9324-3a1b8b7a3ac6,EPP,epp,5,Building,bu,,
EPP Ambalamanga,active,create,70d1b4b5-c173-4523-850a-d45cb618112f,,8cd349af-726c-47bf-b41f-38738f2cc2d0,EPP,epp,5,Building,bu,,
EPP Ambalamarina,active,create,c2d0ae3e-b569-4047-9082-81b926264fea,,0daeae6e-7ac0-475c-b16a-ca693a2becb2,EPP,epp,5,Building,bu,,
EPP Ambalamary,active,create,014deefb-d2f2-4686-a708-3af8d3b5a576,,fe5aaede-9a92-46c2-8143-4bfc5504aafe,EPP,epp,5,Building,bu,,
EPP Ambalamasy,active,create,7cec2e4c-804e-4c8b-a346-dec6269662aa,,79b58d2f-f069-41fe-87c5-45f20f3263c9,EPP,epp,5,Building,bu,,
EPP Ambalamita,active,create,406d364a-9b0a-4683-aaa3-174e73932cff,,15e302e4-3ab6-416c-99b0-1562879f0271,EPP,epp,5,Building,bu,,
EPP Ambalamoa,active,create,0d32a0c6-3be6-42b8-b430-9b7f090bb881,,74619b26-8d58-4381-8ef8-7eeadf3ff542,EPP,epp,5,Building,bu,,
EPP Ambalanaomby,active,create,cba60908-44cf-40c9-b422-3ae03f5b2261,,2a6dcb74-5f54-4590-9a5a-1b5ad8b8c855,EPP,epp,5,Building,bu,,
EPP Ambalangavo,active,create,796968b5-1656-49b7-b3c9-3e8597487deb,,b504328e-527a-4d73-bd12-f009be583e5a,EPP,epp,5,Building,bu,,
EPP Ambalanomby,active,create,1009c83d-0d07-4477-9a2c-33d238a4a3cb,,69191346-9a9a-4dc1-8152-bfd50185cf12,EPP,epp,5,Building,bu,,
EPP Ambalanomby,active,create,26690d8f-4821-4a24-9820-1054240a450d,,e7420f45-58df-446d-a584-b303dc69026b,EPP,epp,5,Building,bu,,
EPP Ambalanosy,active,create,f2c93e7b-243b-4994-a0b5-5085e5135c2c,,81fbdd83-3e3b-42a3-92c8-0c8a526a18d2,EPP,epp,5,Building,bu,,
EPP Ambalapaiso,active,create,10890bd9-5907-4fd8-8ed9-b7ff579cc0c7,,7b584f4b-fa90-459c-9c0f-d69ac7035f70,EPP,epp,5,Building,bu,,
EPP Ambalapaiso,active,create,6c5b39ee-0b37-4379-825d-51ce5738570a,,14b7ecdb-7379-413d-9074-b7ae27ad5e1e,EPP,epp,5,Building,bu,,
EPP Ambalapaiso,active,create,fbe7ddbb-68a2-444f-977f-9efd37514b7d,,d2615195-bb19-4a01-bdc3-3cfc37616feb,EPP,epp,5,Building,bu,,
EPP Ambalapikira,active,create,c4636d94-08e7-441e-a2e1-c5a99fb1914a,,309ea2e1-8827-4ab5-962c-f7474094185a,EPP,epp,5,Building,bu,,
EPP Ambalapoy,active,create,48f0d264-7653-4468-9167-ccd1f00c9ecc,,e8bf9037-cf1d-4178-815d-9a92bf48fb22,EPP,epp,5,Building,bu,,
EPP Ambalarano,active,create,0b302fbf-e64a-4fba-8819-c08783a6ed51,,e416ff2e-eef2-487d-88dc-7ce73dae3a6a,EPP,epp,5,Building,bu,,
EPP Ambalarano,active,create,20196efd-7830-43b2-8c09-234e02f14967,,f999e46b-357b-4620-be16-bd57d572b301,EPP,epp,5,Building,bu,,
EPP Ambalarano,active,create,39e87df1-66fd-437b-8ba0-9c7e0b17a696,,478b1db0-a323-49b5-ade6-49a10c4fb453,EPP,epp,5,Building,bu,,
EPP Ambalarano,active,create,77f6394d-1c9d-4731-b219-263a8a3f6e63,,442c7606-36e0-4538-ba8d-9f4965beedd6,EPP,epp,5,Building,bu,,
EPP Ambalarano,active,create,7fb300c9-d0c3-4c4c-8932-16099a359a32,,affff8ba-86fb-4d6a-b3ba-e2643a7b67b4,EPP,epp,5,Building,bu,,
EPP Ambalarano,active,create,dffa2323-7144-421e-bc1e-f6b4442be3e8,,687f5d8c-5873-4b09-97fd-32af53d86b2f,EPP,epp,5,Building,bu,,
EPP Ambalaroka,active,create,a78ac912-5d68-40be-b75c-ea03f6f67eba,,f76d39d0-4ab3-4310-bf8e-0487e04998da,EPP,epp,5,Building,bu,,
EPP Ambalaromba,active,create,34d43678-5e5f-4083-9b94-2d54e8459d25,,ae2380b1-744a-4772-9ea4-dff3942ce957,EPP,epp,5,Building,bu,,
EPP Ambalasaraka,active,create,28d2dae4-cbaa-4b8b-aaf6-c866c949484e,,d0a79494-c31d-4009-86ca-c1decbc3d6d9,EPP,epp,5,Building,bu,,
EPP Ambalasaraka,active,create,7390d163-2aaf-45de-a98d-7363cad8810f,,a6d001ef-f194-4fde-9a2a-f43738d33b82,EPP,epp,5,Building,bu,,
EPP Ambalasatrana,active,create,9b3af7de-b31d-4601-a5df-3641e864946c,,990cd430-5e3a-4a04-8e02-5613911be24c,EPP,epp,5,Building,bu,,
EPP Ambalasavoa,active,create,b3dff702-a22b-42e7-a5f7-7331d9fea82a,,66972625-0161-46a9-bd1e-605011f71de0,EPP,epp,5,Building,bu,,
EPP Ambalasoa,active,create,804a001e-983c-4278-bc7d-9724fffdbd35,,f68b7052-c16f-4d64-94a7-f316153ee7e8,EPP,epp,5,Building,bu,,
