locationname,locationstatus,method,locationid,locationparentname,locationparentid,locationtype,locationtypecode,locationadminlevel,locationphysicaltype,locationphysicaltypecode,longitude,latitude
EPP Mahabo,active,create,98ffb40f-8d1c-4fb0-8f8b-73454cdbec6f,,72eacb6f-9dd0-4e44-912f-e49f400d54ee,EPP,epp,5,Building,bu,,
EPP Mahabo,active,create,9c7482a1-0a19-415d-83fe-d123d6178bcd,,a3bb14c5-d983-4ba7-b653-77b85b252a04,EPP,epp,5,Building,bu,,
EPP Mahabo,active,create,9fa69305-e8c9-4747-bc46-86f0096fad5d,,5760df4c-d71e-47ec-b2db-3965ac5b4a96,EPP,epp,5,Building,bu,,
EPP Mahabo,active,create,adfc2893-2766-40df-bd9a-8fa61f4d18fc,,b626e249-edcd-43f2-bbd9-b06e3ca374a8,EPP,epp,5,Building,bu,,
EPP Mahabo,active,create,ee09d7f1-9059-4acf-834d-b2859f7cb38a,,e55e5cf9-93c5-4358-b3da-2ac1e8354aa0,EPP,epp,5,Building,bu,,
EPP MAHABO,active,create,cedac1f1-be36-49a5-9eb9-5954ede1f228,,74619b26-8d58-4381-8ef8-7eeadf3ff542,EPP,epp,5,Building,bu,,
EPP Mahabo Ambany,active,create,6d70e6b1-21ac-4b4d-9593-f9b41091cf8a,,20d4e593-6bb4-48cb-a597-b30efa1a37bf,EPP,epp,5,Building,bu,,
EPP Mahabo-Behompy,active,create,40cff366-1128-4928-a4a8-70cdd7fbf260,,18df9699-cb7d-4eec-96f9-3ec9f36e21ff,EPP,epp,5,Building,bu,,
EPP Mahaboboka,active,create,39acbd68-b052-4d46-bcdf-29b7c59f6fe3,,647823e8-5464-46fb-ac7a-3e636b29056a,EPP,epp,5,Building,bu,,
EPP Mahabolo,active,create,1a0022a3-0dbd-43ce-8ce5-798d89b701f7,,64f0435f-ee39-47af-be9b-c2cb33618b2d,EPP,epp,5,Building,bu,,
EPP Mahabolo,active,create,2b1473bb-2489-4ff4-a1e7-c3956bf1d19f,,a1c6c3a9-a14d-4211-8a08-e6819cd565fe,EPP,epp,5,Building,bu,,
EPP Mahabo Mananivo,active,create,a29c3a10-2381-4097-96a3-042369d8c2a5,,3597a6fa-bfc9-49c4-b378-6113de33fea5,Water Point,water_point,5,Building,bu,47.67994,-23.18729
EPP Mahabo Mananivo,active,create,ccc58e43-13ac-413c-8d76-43dcf08b6ecd,,3597a6fa-bfc9-49c4-b378-6113de33fea5,EPP,epp,5,Building,bu,,
EPP Mahabo Nord,active,create,4dbf59dd-1428-4257-af4d-0586ed3da477,,8716f270-e924-4c35-8587-440e68237be1,EPP,epp,5,Building,bu,,
EPP Mahabo Sud,active,create,3db1250b-c495-4065-90dc-6cf08dfbbba9,,39d61976-10b7-4335-ba63-545862f53b29,EPP,epp,5,Building,bu,,
EPP Mahabo Sud,active,create,ae318bc8-f882-46bd-adb4-ac4ed18e7b3b,,5e1ddbbb-a08c-4a05-a225-36788acf6baa,Water Point,water_point,5,Building,bu,45.41172,-24.02229
EPP Mahabo_Sud,active,create,5c5dc78c-f2c4-4ea8-9107-471748a7c6f6,,5e1ddbbb-a08c-4a05-a225-36788acf6baa,EPP,epp,5,Building,bu,,
EPP Mahadilo,active,create,8cbab5c7-1f31-4e52-bf9a-1d885b418940,,3a549dea-f588-417b-a658-77f70cc9a9b4,EPP,epp,5,Building,bu,,
EPP Mahadio,active,create,a578c11f-0004-444a-99ae-a05015c7e31c,,934e3063-45ac-4a16-86ac-53f10c63b0e3,EPP,epp,5,Building,bu,,
EPP Mahadonaka,active,create,bfe00b66-9cff-467c-b25e-233b64203e49,,2625ecad-879b-49b7-bdcb-349f6e4e932b,EPP,epp,5,Building,bu,,
