locationname,locationstatus,method,locationid,locationparentname,locationparentid,locationtype,locationtypecode,locationadminlevel,locationphysicaltype,locationphysicaltypecode,longitude,latitude
Antsalaza,active,create,98f66b3b-88e4-4a7b-8d9a-fd4a3c3ab248,,b12b888d-207a-4eda-ae28-80d69be396e6,Water Point,water_point,5,Building,bu,44.55432,-18.9015
Antsaniria,active,create,e26a0823-9794-4a22-88e6-0145fbebbb8e,,3ac50ca3-1246-49da-a97f-11145ec5fce6,Site Communautaire,site_communautaire,5,Building,bu,,
Antsara,active,create,ac4586a7-5d50-4667-8b42-cd25dd6f2986,,68f938ca-5f90-44da-9cd5-f786622f1e30,Water Point,water_point,5,Building,bu,49.44143,-17.09603
Antsaraolo,active,create,ff701559-d39a-4a75-ab21-a39c877c14a4,,01946d70-2736-44e7-94bd-8e50b3335925,Water Point,water_point,5,Building,bu,44.69883,-19.15911
ANTSARAOLO II,active,create,398e3f6e-3610-4a2a-9494-52462af7d800,,01946d70-2736-44e7-94bd-8e50b3335925,Water Point,water_point,5,Building,bu,44.70183,-19.16083
Antsarike,active,create,17983148-d14b-48e0-b9bc-e1a64d0aa4ed,,55d60ad9-07f3-42c7-b2c2-64b6840ad748,Water Point,water_point,5,Building,bu,,
ANTSATRAHAMASY,active,create,889c3e52-8806-4c7c-bea5-f8e923a997e7,,f8f6820f-96eb-4999-82ec-8b809cff94de,Site Communautaire,site_communautaire,5,Building,bu,,
Antsely be,active,create,c6e77743-58b2-469d-af6d-bdd8ac9b0f11,,d0a79494-c31d-4009-86ca-c1decbc3d6d9,Water Point,water_point,5,Building,bu,45.52858611,-24.09710194
Antsely Toby 1,active,create,3ec8fb90-93a6-4a08-8c21-c09ab5906b5c,,d0a79494-c31d-4009-86ca-c1decbc3d6d9,Water Point,water_point,5,Building,bu,,
Antsely Toby  1,active,create,d812d192-7b1d-455b-8857-171b54a1b68e,,d0a79494-c31d-4009-86ca-c1decbc3d6d9,Water Point,water_point,5,Building,bu,45.53142694,-24.12434806
Antsely Toby 2,active,create,2a297507-d884-440b-a0bf-f447e9deb240,,d0a79494-c31d-4009-86ca-c1decbc3d6d9,Water Point,water_point,5,Building,bu,45.53461194,-24.122375
Antseranambato Sud,active,create,109e669b-527a-4da3-a809-8f81f66c2566,,68f938ca-5f90-44da-9cd5-f786622f1e30,Water Point,water_point,5,Building,bu,49.47195,-17.08327
Antseranambe,active,create,ceede2c0-434b-457a-bbc4-efe5712191c9,,3a7d8ffc-f33a-4560-8ded-561214de9e13,Water Point,water_point,5,Building,bu,47.64838,-23.16605
Antseranana,active,create,df00bb3f-542d-4c8c-80b6-6cb1b8baaf4d,,9e0dac3f-285e-48a9-b708-e3b8b2c274e0,Water Point,water_point,5,Building,bu,,
Antseta,active,create,b2296e12-1c28-44e3-bd2e-328c4a7bbd01,,89a67109-8797-47cd-88c6-847e829ff4ae,Site Communautaire,site_communautaire,5,Building,bu,,
Antsianamasy,active,create,1dbb6698-f417-4ad5-a813-988b66a45217,,1a29f950-a8ed-439c-9d32-b9c2cc1d9bf4,Water Point,water_point,5,Building,bu,,
Antsifitsy,active,create,480ca75a-3a28-4010-8345-0e966f9e357b,,6b9d2aa3-1ff5-4a2e-ba40-aaf6237e4d65,Water Point,water_point,5,Building,bu,45.15187,-24.25531
Antsifittsy,active,create,a16b89b8-49b0-479f-b375-33be15983956,,6b9d2aa3-1ff5-4a2e-ba40-aaf6237e4d65,Water Point,water_point,5,Building,bu,45.37214,-24.61983
Antsihenamasy,active,create,f3e4977c-30ca-4fcf-b547-a661fa7f962e,,1a29f950-a8ed-439c-9d32-b9c2cc1d9bf4,Water Point,water_point,5,Building,bu,45.61247,-24.4564
Antsingy,active,create,2f7f1139-b034-4983-86ef-1ee875b4af67,,5defac73-3f2b-49c8-8b23-3220835b03c2,Water Point,water_point,5,Building,bu,46.72799,-16.14132
Antsira,active,create,22893761-e6e0-4578-8d13-71d934ef7bc6,,d18ae17a-faae-4e40-bb4d-540641d494c0,Water Point,water_point,5,Building,bu,45.08115,-24.32822
Antsira,active,create,b28dd3e4-7ced-4823-b866-5773922d5514,,d18ae17a-faae-4e40-bb4d-540641d494c0,Water Point,water_point,5,Building,bu,,
ANTSIRA,active,create,8ebc3920-9f82-44ff-a969-224a050608f7,,d18ae17a-faae-4e40-bb4d-540641d494c0,Site Communautaire,site_communautaire,5,Building,bu,,
Antsira Anjamalangy,active,create,b7d836eb-f1da-4ae9-93e2-f6b12fb4db68,,42c86929-005d-42d1-8277-50e374ff3337,Water Point,water_point,5,Building,bu,,
