locationname,locationstatus,method,locationid,locationparentname,locationparentid,locationtype,locationtypecode,locationadminlevel,locationphysicaltype,locationphysicaltypecode,longitude,latitude
CHRD MATERNITE BETIOKY,active,create,f7573816-2154-4582-a02b-9b85756ed57a,,700c68ef-f8dc-4f83-9339-037f8ef0c675,CHRD1,chrd1,5,Building,bu,44.3820057,-23.7171419
CSB I Anosy Rahidy,active,create,2e3479b4-f728-4506-8e41-1b593ac8b642,,7c085f80-da12-4e79-bb56-6639da793a45,CSB1,csb1,5,Building,bu,47.989392,-20.275587
CSB I Fenoarivo,active,create,f6723bb3-c770-44da-9cf5-de67e3176187,,b16c87e6-32b5-4eee-8bb0-22daa1ac8a8e,CSB1,csb1,5,Building,bu,48.327671,-19.81804
CSB II Ambatosola,active,create,2de60bd3-a0e9-4df9-a8fc-ca43db5df43d,,1a29f950-a8ed-439c-9d32-b9c2cc1d9bf4,CSB2,csb2,5,Building,bu,45.397334,-24.050458
CSB II AMPARIHILAVA,active,create,40a95c60-135b-4347-8cb7-a8d147204dc8,,c2df9c51-6629-4756-ab37-d58d51c02b30,Water Point,water_point,5,Building,bu,46.70072222,-16.08585833
CSB II Anjampaly,active,create,eec0d7b2-4650-414b-a036-d18337ea0908,,113a292b-209d-4f6d-b7a3-aa7f6eb56186,CSB2,csb2,5,Building,bu,45.6759,-25.4401
CSB II EBELO,active,create,1671ee97-c572-4d70-a8d3-f746d87572d3,,79d35231-617d-4a57-83e6-fefe79351454,CSB2,csb2,5,Building,bu,46.0238,-24.48
CSB II Imongy,active,create,a701de67-22c5-47ab-803e-4b5c32c958f9,,8f572186-72b7-414f-bd37-f4b91c431017,CSB2,csb2,5,Building,bu,45.7243,-25.2971
CSB II Marotsiraka,active,create,fa3e2d45-1cbd-46ed-99ed-bd9ae4bdcf35,,55d60ad9-07f3-42c7-b2c2-64b6840ad748,CSB2,csb2,5,Building,bu,45.9728,-24.2711
CSB II Tanibe,active,create,8c8e2d07-141c-48a7-85a7-5aed08f9a780,,74d6ecda-0ec1-4e0e-b32c-a1550eda16d7,CSB2,csb2,5,Building,bu,49.498011,-16.404945
CSB I Lanivolo,active,create,077a4cf2-46e4-45b3-94f6-d69cb272a31c,,65f72159-94f9-4537-92e6-44445b7648a6,CSB1,csb1,5,Building,bu,49.025244,-18.475954
CSB I Mahaleotse,active,create,ea28ef7f-03e9-4047-ba21-3f521a8ad5af,,42164123-cc7e-4c76-94d0-54cfa470a952,CSB1,csb1,5,Building,bu,43.9566,-23.4526
DREAH Fenerive Est,active,create,34a90472-7ad3-4910-83aa-e19568990178,,5ec5a49d-fb6a-4c5b-a2fb-2182671ffa83,Warehouse,warehouse,5,Building,bu,49.4084,-17.3828
EPP Ankorovana,active,create,ccd296a5-1bf7-4c7e-a4db-2113b58e8953,,eadf078b-2054-4723-8af1-5d16c18ac240,EPP,epp,5,Building,bu,49.27633,-17.46438
315,active,create,2096c0cc-ff04-4ac6-8cbe-307817db252d,,eadf078b-2054-4723-8af1-5d16c18ac240,Water Point,water_point,5,Building,bu,49.26011,-17.43067
