locationname,locationstatus,method,locationid,locationparentname,locationparentid,locationtype,locationtypecode,locationadminlevel,locationphysicaltype,locationphysicaltypecode,longitude,latitude
Ecole Communautaire Ampao,active,create,fb5b7980-c336-43c5-babd-f6c43a17778f,,3c2fc71a-8d34-4395-9e88-8379a23e109d,EPP,epp,5,Building,bu,,
Ecole Communautaire Amparia,active,create,8d55c172-31cd-40ec-af0d-d02e5d9c5977,,3c2fc71a-8d34-4395-9e88-8379a23e109d,EPP,epp,5,Building,bu,,
Ecole Communautaire Amparihibe,active,create,1c466cd1-1245-481d-85dd-d0bf587467ea,,36ff845c-f898-4f93-837f-0ebc50637e15,EPP,epp,5,Building,bu,,
Ecole Communautaire Amparihy,active,create,8e65f8ff-acb4-45f0-9a60-f111a5766a9f,,9b606a8a-d316-4943-88d9-020a4a3d0bf7,EPP,epp,5,Building,bu,,
Ecole Communautaire Amparitany,active,create,3eab59ac-b96b-429e-8d0e-ff8479538fa8,,45080bdf-d7cf-4745-b19b-f06c4dac96c0,EPP,epp,5,Building,bu,,
Ecole Communautaire Ampasikabe,active,create,1d8f88d3-7573-4d1b-8397-a1eb82927a6c,,7174ae50-4d3d-4fd1-a906-4fab680bede5,EPP,epp,5,Building,bu,,
Ecole Communautaire Ampasikibo,active,create,b1aa6b45-899f-4357-9830-25b175a334e1,,e7acd6b0-3935-4798-9a8e-ce5aa2cdfc1a,EPP,epp,5,Building,bu,,
Ecole Communautaire Ampasimadinika,active,create,59c49c8c-b076-451d-b384-93ef78b83610,,58748f98-a17c-44d2-9ebf-dd44deaedb6f,EPP,epp,5,Building,bu,,
Ecole Communautaire Ampasimadinika,active,create,945b30e5-b3e7-417f-8c11-b4186f50afe8,,2055c2a0-401c-4c8a-b2a0-d1b23449c3b6,EPP,epp,5,Building,bu,,
Ecole Communautaire Ampasimadinika,active,create,c0af503a-7a99-4d74-98de-20198079ecca,,3c9bdc0f-03b9-4ddc-9252-d034e185915b,EPP,epp,5,Building,bu,,
Ecole Communautaire Ampasimadinika I,active,create,ffdfac0a-7ff3-4f61-938c-2f4920176b42,,563e8fe7-c54b-4b6c-af07-7cc42e2ffb6a,EPP,epp,5,Building,bu,,
Ecole Communautaire Ampasimalemy,active,create,11deb8dd-07cb-4a74-bcca-70bc6029641d,,335a2c92-476c-4f6e-ac75-e07dc218198a,EPP,epp,5,Building,bu,,
Ecole Communautaire Ampasimandroro,active,create,0df76ea0-eecf-49df-8ac7-7eceb4e4d156,,7da9bcd5-9919-42eb-a771-4b02ad9ac48a,EPP,epp,5,Building,bu,,
Ecole Communautaire Ampasimaneva,active,create,818b011a-c5ac-4bb1-93c4-ae07696b1257,,778f0e89-e11c-48b4-a761-8fac553ba15e,EPP,epp,5,Building,bu,,
Ecole Communautaire Ampasimazava,active,create,5e646a64-edfe-4b67-a4bc-71d4fe1614c9,,c38e0c1e-3d72-424b-ac37-29e8d3e82026,EPP,epp,5,Building,bu,,
