locationname,locationstatus,method,locationid,locationparentname,locationparentid,locationtype,locationtypecode,locationadminlevel,locationphysicaltype,locationphysicaltypecode,longitude,latitude
EPP Ankomaka-Sud,active,create,7680a2df-9ff6-48f6-8e25-fa018bf959b0,,4fb47e4d-3f47-4e08-bc7a-63a6e1dbf9e0,EPP,epp,5,Building,bu,,
EPP Ankomaky/Ampanihy,active,create,16a345b3-d027-4e62-a113-eff499c97460,,6605a637-2852-48e9-ac45-274e97cbaf78,EPP,epp,5,Building,bu,,
EPP Ankonahona,active,create,95c4e1cc-03d8-474a-b343-5b80e7c77fa0,,e2dc2e6a-dd97-4b1d-9bf4-3f4b6776555b,EPP,epp,5,Building,bu,,
Epp Ankonatse,active,create,f4f28368-ca6a-4202-8c92-caabaaf65836,,b717b9f1-85ef-4567-863f-5a5967804a0d,EPP,epp,5,Building,bu,,
EPP Ankonatse,active,create,a669f7a5-86a9-4076-8156-2a5b2108088f,,74619b26-8d58-4381-8ef8-7eeadf3ff542,EPP,epp,5,Building,bu,,
EPP ANKONATSY,active,create,787b19e2-033d-44f8-8d8d-efc4db9f5357,,74619b26-8d58-4381-8ef8-7eeadf3ff542,EPP,epp,5,Building,bu,,
EPP Ankondria,active,create,35eedaff-4b5b-491c-b089-da8d91e96015,,38679362-2eb0-4eb1-87d0-6b78fa7e733d,EPP,epp,5,Building,bu,,
Epp Ankopia,active,create,b0767155-eeed-4e4d-8ecd-b81ecfc721e4,,4863b612-5843-41f8-a1ab-cca2f892fee0,EPP,epp,5,Building,bu,,
EPP Ankorabe,active,create,7385ae15-166e-4684-9dd2-62f6b0ca4333,,7171dd6e-6afe-4cc7-8aad-ef3816a7a134,EPP,epp,5,Building,bu,,
EPP Ankorabe,active,create,d0b9e459-eeea-4e04-bb9e-972fbeb59b07,,5529a358-a09f-4443-8be6-f30527e5d88a,EPP,epp,5,Building,bu,,
EPP Ankorabe,active,create,f70647de-d60a-4169-a397-0cdfd1d8286f,,1ccffffe-9976-408a-adb6-98324b5c120c,EPP,epp,5,Building,bu,,
EPP Ankoraka,active,create,06f782ad-3e93-4c9f-bb74-1e9ecd67fb84,,8d03fa63-211c-49c9-b6ba-cda28184bdf7,EPP,epp,5,Building,bu,,
EPP Ankorakosy,active,create,2eb88b9f-4457-4c2d-b132-528a2f99aa88,,edd7bc75-fc97-4748-840c-2fc554322284,EPP,epp,5,Building,bu,,
EPP Ankoramahasoa,active,create,00e27025-0531-409c-87d6-040a5d33e30e,,66fbdbb7-ab1e-45f0-9b4f-2fe57550b89d,EPP,epp,5,Building,bu,,
EPP Ankorefo,active,create,366d4e14-0048-494f-bacd-5b71e3b898e1,,6614ec43-fa7a-4f08-9a02-9acaf9ceebec,Water Point,water_point,5,Building,bu,46.76876389,-16.11102222
EPP Ankorefobe,active,create,6a493dd4-2187-4c52-9b13-fda5c40c8833,,6614ec43-fa7a-4f08-9a02-9acaf9ceebec,EPP,epp,5,Building,bu,,
EPP ANKOREFOBE,active,create,597df7fe-2187-47c2-a0f8-3c0270233e1d,,6614ec43-fa7a-4f08-9a02-9acaf9ceebec,Water Point,water_point,5,Building,bu,46.770145,-16.109597
EPP Ankoriraika,active,create,c9db9901-eb82-4486-b533-fd868badfaf1,,05298366-d8c0-4f72-9f10-9669e8f06b0b,EPP,epp,5,Building,bu,,
EPP Ankoririky,active,create,3881b052-a267-42cf-9b4c-9fe4421e1686,,c68c08bb-5690-4ac1-abc8-cf4c51ce8d03,EPP,epp,5,Building,bu,,
