locationname,locationstatus,method,locationid,locationparentname,locationparentid,locationtype,locationtypecode,locationadminlevel,locationphysicaltype,locationphysicaltypecode,longitude,latitude
Mahasoa,active,create,39882beb-88df-4530-852b-a9c87e88aa49,,751592b8-9206-4967-8c38-a6cd5a24618a,Water Point,water_point,5,Building,bu,47.87444444,-22.40555556
Mahasoa Centre,active,create,6dc468fb-d198-4c02-bcbf-a6bf35a1cb8a,,68f938ca-5f90-44da-9cd5-f786622f1e30,Water Point,water_point,5,Building,bu,49.49878,-17.13556
Mahasoa I,active,create,ffd4f116-be21-48c2-b98c-d0a79265ccec,,05298366-d8c0-4f72-9f10-9669e8f06b0b,Water Point,water_point,5,Building,bu,49.67778,-16.70361
Mahasoa Nord,active,create,cbb4351f-ea0c-45cb-8d6e-1669ef3760f9,,68f938ca-5f90-44da-9cd5-f786622f1e30,Water Point,water_point,5,Building,bu,49.49414,-17.14519
Mahasoa Sud,active,create,e1534a06-9697-4972-a75f-ec1ddcecb82a,,68f938ca-5f90-44da-9cd5-f786622f1e30,Water Point,water_point,5,Building,bu,49.49306,-17.1475
Mahasoa Sud,active,create,496ddf3e-8e83-4c65-af47-29126a569d3f,,68f938ca-5f90-44da-9cd5-f786622f1e30,Water Point,water_point,5,Building,bu,49.40369,-17.36847
Mahasorona,active,create,c91eb09c-8dc4-443c-9df7-4472dfda384d,,cd0c8f6f-d2ef-4dbd-9712-5ccc36c1e015,Water Point,water_point,5,Building,bu,49.82643,-16.38364
Mahatazantsoa Centre,active,create,0d1ee55b-6028-40c5-ba87-118cd545a089,,1a546a5e-573f-45df-b5e5-4fa11616d2a2,Water Point,water_point,5,Building,bu,46.79341,-16.25657
Mahatazantsoa Nord,active,create,d8197b20-2ebf-41c7-bd06-a73434406587,,1a546a5e-573f-45df-b5e5-4fa11616d2a2,Water Point,water_point,5,Building,bu,46.79343,-16.25617
Mahatazantsoasud,active,create,bc98c5e0-2ce4-4930-8856-395eeec75618,,1a546a5e-573f-45df-b5e5-4fa11616d2a2,Water Point,water_point,5,Building,bu,46.79347,-16.25716
Mahatera,active,create,bc8ee62a-2752-48bd-9a42-66b667881d15,,15e3dc94-d0c9-43f1-bbc5-4f3b19883f0f,Water Point,water_point,5,Building,bu,49.53194,-16.96375
Mahatsara,active,create,27a4bc92-14d2-44e0-85c2-949002b4ae1c,,eadf078b-2054-4723-8af1-5d16c18ac240,Water Point,water_point,5,Building,bu,49.24553,-17.42292
Mahatsara Marolinta,active,create,4035f872-9294-435d-ac80-84bf296ce67d,,79b58d2f-f069-41fe-87c5-45f20f3263c9,Water Point,water_point,5,Building,bu,44.63862,-25.107
Mahatsara Nosibe,active,create,3232cbc3-6904-493e-948f-459e8445cfc1,,eadf078b-2054-4723-8af1-5d16c18ac240,Water Point,water_point,5,Building,bu,49.24554,-17.42295
Mahatsara Sud,active,create,2a49560e-03b3-426c-ad10-f67e0f8263fe,,79b58d2f-f069-41fe-87c5-45f20f3263c9,Water Point,water_point,5,Building,bu,48.2978,-21.1783
Mahatsinjo,active,create,367849b4-d69f-4ef3-bdf8-dc7c4069d0f2,,3a549dea-f588-417b-a658-77f70cc9a9b4,Water Point,water_point,5,Building,bu,49.43953,-17.45961
Mahatsinjo,active,create,3755fd28-2eb0-48f3-9c9b-f26405b5db06,,faa85abb-bd9b-495f-8549-5efba48da916,Water Point,water_point,5,Building,bu,47.68806944,-22.80199722
Mahatsinjobe,active,create,cd4eafa0-cb58-48b1-aa3e-34aaa2a65349,,de8c2caa-43d7-4bd7-921d-2a9be307c143,Water Point,water_point,5,Building,bu,47.35777222,-22.48196667
MAHATSINJO CENTRE,active,create,1af20794-b567-4333-bb00-023885eef829,,eb8558f4-8224-4a75-8920-1826d1fb34e6,Water Point,water_point,5,Building,bu,46.55658333,-16.07527778
Mahatsinjo EPP,active,create,e6431c69-a786-44c9-b7cf-ba726b797ce5,,31344464-306c-4f4a-a70d-43ffbdfa19b2,Water Point,water_point,5,Building,bu,48.31880556,-21.24616389
Mahavelo,active,create,142357fe-e69a-405c-9f28-b87374702941,,8e46c0f7-3fac-41b9-8307-035998c709c0,Water Point,water_point,5,Building,bu,47.788672,-22.491081
Mahavelo,active,create,39077b53-0705-4afd-8ede-76df3bcfa353,,7ca0b7db-78bd-4878-97d3-1042f4353e68,Water Point,water_point,5,Building,bu,47.568,-23.32213
Mahavelo,active,create,59c3668f-2a6a-475c-bacc-2097e799be05,,4fa8031b-51a6-49a8-ac01-8dce533d58d0,Water Point,water_point,5,Building,bu,47.77978056,-22.91989167
Mahavelo,active,create,774ebf1a-5590-4706-9847-9db9c22a9302,,a6b2e537-03d2-48d5-965a-c80ac9e49e1b,Water Point,water_point,5,Building,bu,47.60118,-23.30374
Mahavelo,active,create,96d8dc34-065f-4de7-9b0f-cd8517ae678e,,4f3d45dd-a573-4e84-875c-87dadf9b45f5,Water Point,water_point,5,Building,bu,47.36796389,-22.36522222
Mahavelo Ampataka,active,create,48ebc5be-9d5d-483b-9887-d7688e05d2a8,,913a85b9-81e9-4a17-9363-8d482a8f8daf,Water Point,water_point,5,Building,bu,47.80221111,-22.16276667
Mahavelona,active,create,4be596bc-0b67-415d-a796-150b55f69f2a,,eadf078b-2054-4723-8af1-5d16c18ac240,Water Point,water_point,5,Building,bu,49.25431,-17.41753
Mahavelona,active,create,8d88b8c4-4a4c-450d-8345-11f71c3e0308,,eadf078b-2054-4723-8af1-5d16c18ac240,Water Point,water_point,5,Building,bu,49.25483,-17.41767
Mahavokake,active,create,34ace15e-5c6f-4d35-8183-3f291a07f32f,,457c79c3-09a5-4967-abe5-9ba010354d1a,Site Communautaire,site_communautaire,5,Building,bu,,
