locationname,locationstatus,method,locationid,locationparentname,locationparentid,locationtype,locationtypecode,locationadminlevel,locationphysicaltype,locationphysicaltypecode,longitude,latitude
EPP Andohadambo,active,create,2fd4a91d-33fc-4a67-b322-c99e114c2d90,,6614ec43-fa7a-4f08-9a02-9acaf9ceebec,EPP,epp,5,Building,bu,,
EPP Andohalambo,active,create,765a460e-e3d8-43b4-ac0b-54c65bb56659,,5c823676-3a79-4633-9d0e-5579ca10794d,EPP,epp,5,Building,bu,,
EPP Andohalobe,active,create,20b933c2-8312-40c6-9797-3c12562d7be1,,61714fe1-236b-46cd-9e98-fe653d31dff7,EPP,epp,5,Building,bu,,
EPP Andohambositra,active,create,e2f871ef-0ea6-45cd-a913-1a0b5551429f,,c100241f-a892-4bc7-97bf-7ed02ed0d40e,EPP,epp,5,Building,bu,,
EPP Andoharano,active,create,48028cb1-f7bd-45df-afa0-fe586fd5eb40,,88684eb8-5a7d-4583-9d2c-eaa31f91913b,EPP,epp,5,Building,bu,,
EPP Andoharano,active,create,90f02297-eb74-4488-b89b-3f10df2cdf60,,39d61976-10b7-4335-ba63-545862f53b29,EPP,epp,5,Building,bu,,
EPP Andoharano,active,create,e5ebf918-7ad6-42fd-bdbe-be0e30d7cab8,,4ffed295-ec56-43aa-9308-71bed6e61efe,EPP,epp,5,Building,bu,,
EPP Andoharano,active,create,ed10e273-e40f-4dd5-b0ae-a2bdc7066826,,e9beb16a-fb0b-4aa2-97b5-9668f323af7b,EPP,epp,5,Building,bu,,
EPP Andoharano,active,create,fdd0af09-605d-4c2d-829b-16069bed69b2,,6fce8ae5-afe4-47e2-b7cc-d2a13d7fe508,EPP,epp,5,Building,bu,,
EPP ANDOHARANO ANKAZOMASY,active,create,02579c59-93b1-4345-9efc-285e9b6527b8,,39d61976-10b7-4335-ba63-545862f53b29,EPP,epp,5,Building,bu,,
EPP Andoharano I (Mamiratra),active,create,897e0598-33fb-477c-a03f-14c493815dbc,,ac38946a-ff08-4941-ab55-9f25fb818265,EPP,epp,5,Building,bu,,
EPP Andoharanomamy,active,create,4b2311f9-4ad4-4ee6-8307-50dca774b7ec,,42c86929-005d-42d1-8277-50e374ff3337,EPP,epp,5,Building,bu,,
EPP Andoharano Morafeno (Soafianatsy),active,create,7734fd17-e334-42ff-955d-22d6e14560c8,,ac38946a-ff08-4941-ab55-9f25fb818265,EPP,epp,5,Building,bu,,
EPP Andoharano Nord,active,create,58b19b6c-fc3d-40bc-b7f2-030aa1db69ae,,42cbdedf-5db9-4c22-b0c3-58084dfaf401,EPP,epp,5,Building,bu,,
EPP ANDOHARANO-NORD,active,create,ce4effc0-afd0-46b4-b578-86790d786fc5,,42cbdedf-5db9-4c22-b0c3-58084dfaf401,EPP,epp,5,Building,bu,,
EPP Andoharano Sud,active,create,5686604c-54b8-46c9-a8bf-9b4a4909d5bc,,42cbdedf-5db9-4c22-b0c3-58084dfaf401,EPP,epp,5,Building,bu,,
EPP Andoharano Tsaratanana Mahazoarivo,active,create,09b9b942-9d9e-48be-99bf-21192457fd1a,,ac38946a-ff08-4941-ab55-9f25fb818265,EPP,epp,5,Building,bu,,
EPP Andohariana,active,create,a4f97bd8-cd37-4011-b0b2-0f9c60945cbf,,7d0c14f2-b640-4dd9-8fe8-ea832cd858db,EPP,epp,5,Building,bu,,
EPP Andohariana I,active,create,64756a7b-35db-4f24-a50b-8561da81e914,,e2dc2e6a-dd97-4b1d-9bf4-3f4b6776555b,EPP,epp,5,Building,bu,,
EPP Andoharokana,active,create,8b366cb0-345e-4869-949b-7dbe56f2a6da,,67549f20-ca9c-4f98-8c68-10dfc69193f9,EPP,epp,5,Building,bu,,
EPP Andohasakoa,active,create,566a4baf-b3c6-4727-97a7-c9543fb867df,,dbcee054-66f3-4c05-abdc-24d79eb50263,EPP,epp,5,Building,bu,,
EPP Andohasatra,active,create,d1483069-e8e6-4d65-938b-0fa539832367,,ecb6bc61-b3b2-441d-b9b0-50c775947226,EPP,epp,5,Building,bu,,
EPP Andohatoko,active,create,7a5a9989-de84-4d36-91f5-8e09e3bd6631,,e9e6a1c2-e01c-4698-8e78-c838dbf0013c,EPP,epp,5,Building,bu,,
EPP Andohaviana,active,create,6515e2b9-88ff-4b1a-9114-6e121f4d80de,,bdd9d409-e7ca-4437-b32f-b3db55842f43,EPP,epp,5,Building,bu,,
EPP Andohavoly,active,create,4301a7d1-7c5b-4dac-964f-290c1fb14f75,,2c85f71a-5021-4f0a-8727-59ab2e854ec4,EPP,epp,5,Building,bu,,
EPP Andohavondro,active,create,80dcb989-d06a-402f-840e-35186bc885c3,,647823e8-5464-46fb-ac7a-3e636b29056a,EPP,epp,5,Building,bu,,
EPP Andokaolo,active,create,f1915c93-0843-4877-bf8a-0e5137ab696d,,42cbdedf-5db9-4c22-b0c3-58084dfaf401,EPP,epp,5,Building,bu,,
EPP Andolana,active,create,448f7407-4ebe-489d-867d-e7b363d14e07,,6138ea19-0993-4aef-8e17-b87e68d5a812,EPP,epp,5,Building,bu,,
EPP Andolobey,active,create,55e55ab4-4aec-4eb5-b162-13d16ab32884,,ecb6bc61-b3b2-441d-b9b0-50c775947226,EPP,epp,5,Building,bu,,
EPP Andolobory I,active,create,71124d4b-8dfb-4344-a6f2-932313c693d8,,8580a687-cfd7-4ca7-85df-12e585021277,EPP,epp,5,Building,bu,,
EPP Andolomikopaka,active,create,310c20b0-5ca8-44e0-b594-32540136dd1b,,9d83a546-65b4-486a-b989-9192222167ba,EPP,epp,5,Building,bu,,
EPP Andombiry,active,create,250bce5f-2ff9-4b5f-b8cf-cc428e2dc2ea,,45080bdf-d7cf-4745-b19b-f06c4dac96c0,EPP,epp,5,Building,bu,,
EPP Andombiry,active,create,4cd768e6-4619-4409-8fd7-a76f3d040944,,182bcfaf-9e4a-4651-8398-a0cbb0bfe32a,EPP,epp,5,Building,bu,,
EPP Andombiry,active,create,713f8583-def9-497c-967e-b1cf8ceeba49,,02a0a124-780a-4d17-9953-13e0ab8640b1,EPP,epp,5,Building,bu,,
EPP Andombiry,active,create,9d7cc851-fe10-4d75-ae61-24daa1b8386d,,0daeae6e-7ac0-475c-b16a-ca693a2becb2,EPP,epp,5,Building,bu,,
EPP Andombiry,active,create,ae8b53aa-b370-4e85-89bf-6eb3e5f20a8a,,529c8318-fa53-4d4e-8cd9-7c0b3a229d06,EPP,epp,5,Building,bu,,
