locationname,locationstatus,method,locationid,locationparentname,locationparentid,locationtype,locationtypecode,locationadminlevel,locationphysicaltype,locationphysicaltypecode,longitude,latitude
EPP Tanandava Toby,active,create,997cca6c-36ae-4da0-8914-b68587da9f5f,,b410c887-50df-4699-ae70-bde33bd4df0e,EPP,epp,5,Building,bu,,
EPP Tanandava Village,active,create,7ead3eeb-85e1-4636-8ec9-2da1afa239d3,,5e802a7c-edd6-4604-b56c-71b899dcf9ff,EPP,epp,5,Building,bu,,
EPP Tananevo,active,create,e6ae70c0-1586-4a73-8fae-d688fd89ec48,,ca47219b-3216-41e7-b112-94fe4df13907,EPP,epp,5,Building,bu,,
Epp Tanantsoa,active,create,8e5a1e1f-a3d4-4081-945f-7bfb76682599,,8b79f6e0-d95e-4bf9-bd5c-ecc26834b201,EPP,epp,5,Building,bu,,
Epp Tanantsoa,active,create,fe3122bf-349a-4504-94cd-c1b2782e30dc,,4863b612-5843-41f8-a1ab-cca2f892fee0,EPP,epp,5,Building,bu,,
EPP Tanantsoa,active,create,43a30617-f1c0-4107-9017-6e2fe6d9e3da,,8b79f6e0-d95e-4bf9-bd5c-ecc26834b201,EPP,epp,5,Building,bu,,
EPP Tanantsoa,active,create,6bb05858-6e8d-4ea8-b524-2cd8971469b6,,ba97f237-7ff7-4738-b835-00a78ec4bd42,EPP,epp,5,Building,bu,,
EPP Tanantsoa,active,create,ff1847c2-989f-415c-93f1-f6b34ed4feb2,,529c8318-fa53-4d4e-8cd9-7c0b3a229d06,EPP,epp,5,Building,bu,,
EPP Tanapiso,active,create,e2c9cca3-14bf-48ef-a2d4-89c7fc8d13cb,,7d36fdd0-1cbc-4ace-bd4a-d96dd630e6d7,EPP,epp,5,Building,bu,,
EPP Tanasoa,active,create,d4569d1a-8bf5-44e6-88bd-79ad919821f9,,d3d25be2-06b3-48c7-9126-ec715f2d3ac7,EPP,epp,5,Building,bu,,
EPP Tanatana,active,create,1232944a-5687-4db7-a104-5ffbee63e2ca,,dd817f06-0675-4ded-9eee-9954521e6eda,EPP,epp,5,Building,bu,,
EPP Tandrano,active,create,7c62eebd-9d17-4032-87b5-ba32d9faeea1,,65582195-1082-4610-b390-a6806e30e3af,EPP,epp,5,Building,bu,,
EPP Tandroka Anja,active,create,b2871c39-1555-46b8-86cb-12e287a63172,,0daeae6e-7ac0-475c-b16a-ca693a2becb2,EPP,epp,5,Building,bu,,
EPP Tandroka Ouest,active,create,245d5a76-1bcf-4846-b8d5-0b40e9af1537,,0daeae6e-7ac0-475c-b16a-ca693a2becb2,EPP,epp,5,Building,bu,,
EPP Tandroka Tanambao Soatanimbary,active,create,ff703a5b-e14b-42d3-8de0-5e42d0a7a743,,0daeae6e-7ac0-475c-b16a-ca693a2becb2,EPP,epp,5,Building,bu,,
EPP Tangainony,active,create,56e01233-6743-43c6-96c0-c85eaf8d6a83,,a7cac00e-8f20-4575-813b-55f593bb10bd,EPP,epp,5,Building,bu,,
EPP Tangainony,active,create,7030bc56-75f0-4f1c-be03-83e95f0dbe09,,7542e25b-ade4-4504-bda5-40b3f82b023d,EPP,epp,5,Building,bu,,
EPP Tanibe,active,create,959a6036-84f6-49a7-8f2f-11dbaa2134b1,,74d6ecda-0ec1-4e0e-b32c-a1550eda16d7,EPP,epp,5,Building,bu,,
EPP Tanibe Betoafo,active,create,bb8fb744-f4a7-4ff5-9add-d123c404dbcf,,e9bfd037-3c2b-4697-b9d8-a5fed6c85641,EPP,epp,5,Building,bu,,
EPP Tanihady,active,create,5656356f-d00b-4f88-9d47-8ca4354b0a80,,1ba948bd-3aa1-4b9f-81af-26670daffed1,EPP,epp,5,Building,bu,,
EPP Tanimandry,active,create,6688a7cf-34a4-4099-902c-3be0ef77d2cb,,20aacb43-e0c9-47ec-b1e3-7416cc5bf316,EPP,epp,5,Building,bu,,
EPP Tanimena,active,create,4916d1d4-c2a2-4e0f-9988-a13eab82cfa0,,e9bfd037-3c2b-4697-b9d8-a5fed6c85641,EPP,epp,5,Building,bu,,
