locationname,locationstatus,method,locationid,locationparentname,locationparentid,locationtype,locationtypecode,locationadminlevel,locationphysicaltype,locationphysicaltypecode,longitude,latitude
CSB Ostie Akanjo Ambatomaro,active,create,480b3d15-039c-4ef8-8765-35ea3410f51e,,87073296-0c8f-4c3d-be03-657969c6517a,CSB2,csb2,5,Building,bu,47.564,-18.907
CSB Ostie Ampasamadinika,active,create,3739f0fd-f61e-4eae-a8ba-0930655833b8,,87073296-0c8f-4c3d-be03-657969c6517a,CSB2,csb2,5,Building,bu,47.52,-18.903
CSB Ostie Anjeva Gare,active,create,3c0650e2-df86-4903-9f4e-5bb6a924e5d5,,b410d757-4164-40f6-af32-3d635b6ac48b,CSB2,csb2,5,Building,bu,47.658,-18.83
CSB Ostie Anosibe,active,create,929b2ee5-a2ee-4e1d-bc73-6e98095f7211,,e70844ea-2707-4622-8105-8046abf81235,CSB2,csb2,5,Building,bu,47.519,-18.921
CSB Ostie Behoririka,active,create,447ca802-4f9b-45ae-95ca-d4dd95e672c8,,e70844ea-2707-4622-8105-8046abf81235,CSB2,csb2,5,Building,bu,47.529,-18.92
CSB Ostie Ilafy,active,create,1e4cd31f-e669-4034-a6d6-11a792dbd5df,,b410d757-4164-40f6-af32-3d635b6ac48b,CSB2,csb2,5,Building,bu,,
CSB Ostie Mahalavolona,active,create,8240b496-b9a8-4df8-bba1-a20509895fa5,,71f414a9-c504-452a-bc57-1368ae11f3c9,CSB2,csb2,5,Building,bu,47.53,-19.002
CSB Ostie Somacou Ilafy,active,create,c4e2329e-c037-425d-b799-c091a6d64be0,,4a97633c-dc97-478d-a717-b37c3de1385f,CSB2,csb2,5,Building,bu,,
CSB Ostie Tanjombato,active,create,d14fc173-d3fe-4b8c-b2d0-2aae5fa1a668,,b822118e-223a-49b4-b7e5-72adbda546b4,CSB2,csb2,5,Building,bu,47.527,-18.911
CSB Ouest Sucre Antsohimbondrona,active,create,ca0e0628-bc61-4d70-8fd0-bb036bfd8022,,9c4abdd5-023b-49aa-b006-4c8d7171bd19,CSB2,csb2,5,Building,bu,48.923,-13.681
CSB Pentekotista Mitambatra Andohalo,active,create,a456295f-2d81-4524-9f85-3bc05957130f,,e70844ea-2707-4622-8105-8046abf81235,CSB2,csb2,5,Building,bu,47.534,-18.926
CSB Pilakibe,active,create,dce2e112-9f38-4db1-8e6e-9e121514251c,,9c4abdd5-023b-49aa-b006-4c8d7171bd19,CSB2,csb2,5,Building,bu,48.963,-13.68
CSB Pont Sofia,active,create,8698a494-8711-477c-81eb-db897888367c,,4aa20f8e-c942-4f46-85c3-cd91a9d6bc34,CSB2,csb2,5,Building,bu,48.648,-15.387
CSB Poste Et Télécommunication Analakely,active,create,2e8a46d3-c19b-40f4-9e1a-0ccd0a20443a,,8f127dd1-8e58-4d53-b273-bf8945e3e43a,CSB2,csb2,5,Building,bu,,
CSB Privé Allelouia Ambohitsara,active,create,47fd0be9-038c-488d-a26f-b69d6a467b86,,03ab4c53-0115-4a5f-be5d-963108a4f38d,CSB2,csb2,5,Building,bu,,
CSB Privé Brieville,active,create,267b60dd-1535-4b90-ac4e-085a72229b8e,,51c0a24f-cf89-4d33-ab9a-91c2801aa34c,CSB2,csb2,5,Building,bu,47.634,-16.699
CSB Rainisoalambo,active,create,d626d9a0-ca90-4146-842b-dcd4451632ba,,627d2d57-a002-428c-b845-66ecf0afae48,CSB2,csb2,5,Building,bu,46.921,-21.466
CSB Ral,active,create,3c2e2599-e10b-4400-8c72-122222b0eeb2,,a580ee00-578a-4d52-8224-6d0338ea8937,CSB1,csb1,5,Building,bu,,
CSB Ramainandro,active,create,10bc9d06-643e-4d89-a489-754343311b52,,52d4a1c9-1b97-492c-896e-69fa93cee69b,CSB2,csb2,5,Building,bu,47.002,-19.831
CSB Ramena,active,create,7edc5cdd-f244-490e-be4f-2ed70b8326ce,,85de4cb1-78f0-4aa8-bbde-3a1299b66b2c,CSB2,csb2,5,Building,bu,,
CSB Ramena,active,create,c769f43d-20ad-47b5-b3ea-9a4a605fe088,,3b3f5833-ecc5-4534-be1a-7ccdd19923e8,CSB1,csb1,5,Building,bu,49.348,-13.818
CSB Rangodona,active,create,847095f7-a128-4f55-9405-d31ced4b2034,,f94ce37b-e582-4825-9a6d-b83bbdf9dfc3,CSB1,csb1,5,Building,bu,48.35,-14.478
CSB Ranofolo,active,create,0d78c2c4-6065-4c75-86b1-b874a3160013,,6fce8ae5-afe4-47e2-b7cc-d2a13d7fe508,CSB1,csb1,5,Building,bu,,
CSB Ranohira,active,create,409ab5bf-fda6-4b36-ad08-83104ad8f603,,13e9bd89-81f6-47f8-96c1-8a083ae475f2,CSB2,csb2,5,Building,bu,45.413,-21.444
CSB Ranomainty,active,create,dff0697a-2c79-466f-a05a-de8fb27b3194,,813f5815-b2fa-4024-bbfe-ad852e0fba81,CSB2,csb2,5,Building,bu,48.157,-17.83
CSB Ranomainty Vohibe,active,create,75803704-ad05-4d2e-9923-200b08e2d098,,d78a96e7-5fb9-4f6e-a627-d0977be8c1d1,CSB1,csb1,5,Building,bu,47.301,-20.073
CSB Ranovao,active,create,465eed80-7f62-4899-89b5-ec351c8119cc,,78c2e632-087b-4952-b9d1-38af17a0b1f4,CSB2,csb2,5,Building,bu,47.815,-18.907
CSB Rantabe Ambanizana,active,create,2bf5a49e-75d5-4405-8f5f-2009d4e4a44f,,d3bf37ac-c3d9-4826-922f-1fc5f7308b45,CSB2,csb2,5,Building,bu,,
CSB Rncfm Fce Manakara,active,create,af72998c-d333-47aa-b642-21b0da4942dd,,562311dc-98e1-4b27-85a2-946382c22e7a,CSB2,csb2,5,Building,bu,48.013,-21.503
CSB Rncfm Fianarantsoa I,active,create,3ae7d3a9-2bfe-4e04-9457-d7c9ed05988d,,35f78db6-2235-4540-85f0-6ce8c075608d,CSB1,csb1,5,Building,bu,47.09,-21.84
CSB Rova,active,create,d955c6e5-a76e-44ce-8f38-8c74dc81d3d2,,67d4bd9c-86bb-448a-95df-67a61d277a3e,CSB1,csb1,5,Building,bu,47.076,-22.039
CSB Sabotsy Manjakavahoaka,active,create,a7f22283-6a26-4d83-80c3-8966fba535aa,,be4251e1-4d60-4a07-91c1-78a6b104f463,CSB2,csb2,5,Building,bu,,
CSB Sabotsy Namatoana,active,create,93e11b7b-2c65-4aa5-bc74-e0297fd340a6,,5a7434fd-e437-4d16-9784-fe0526927268,CSB1,csb1,5,Building,bu,47.371,-16.21794
CSB Sabotsy Namehana,active,create,969fedc5-c990-4ac0-8480-99d4ab97f4fa,,a9cece5d-2bba-4db7-bc98-e6b4afba6dfa,CSB2,csb2,5,Building,bu,47.558,-18.961
CSB Sacré Cœur Ambohitompoina,active,create,13307c56-ffc4-470e-b606-ec97cc87f442,,192971ce-ccb0-440c-882f-4e477b5c574a,CSB2,csb2,5,Building,bu,47.664,-15.909
CSB Sadabe,active,create,32582df6-3178-4350-aa58-2677bacd8978,,d66d97d5-3a92-4f60-9c34-7074e812ad75,CSB2,csb2,5,Building,bu,47.71,-18.921
CSB Sadifi Ambano,active,create,ffb54bb8-8fdf-42e6-988b-66f07195603b,,919d123a-dbc8-4a9a-9774-973bb5e46883,CSB2,csb2,5,Building,bu,47.033,-19.419
CSB Sadifi Ambolotara,active,create,90b5f9f5-316a-4f40-9a1f-7e4e21ed0adf,,05245ca6-c079-46d8-a804-1fd3ea8af0ef,CSB2,csb2,5,Building,bu,46.948,-19.862
CSB Sadifi Antanivao,active,create,8da98226-eedb-46e7-bc2b-e1e97edba979,,324c72be-0931-4afb-9249-65af9deb257c,CSB1,csb1,5,Building,bu,47.038,-19.291
CSB Sadifi Mandoto,active,create,5f59ce74-818b-44fd-9484-2ac570ca29ca,,88f1b2c4-5a31-41c5-9eaa-b4b82369f8bb,CSB2,csb2,5,Building,bu,46.285,-19.994
CSB Sadjoavato,active,create,583b228a-fa27-4961-af18-9cbbc882a84b,,95b5bc07-9f47-4fd4-8815-75d747ddfb44,CSB2,csb2,5,Building,bu,49.348,-13.179
CSB Safata Akamasoa,active,create,de2e273a-8c3c-4f24-8484-502f3f808094,,627d2d57-a002-428c-b845-66ecf0afae48,CSB2,csb2,5,Building,bu,47.148,-21.441
CSB Saf Fjkm Ambanidia,active,create,386d36ff-be2b-409e-8828-784d64d7c13f,,a5e56324-dfbe-4373-827e-772232cfc7e0,CSB2,csb2,5,Building,bu,47.538,-18.91
CSB Saf Fjkm Ambatolampy,active,create,69d74390-0be9-430e-92b0-aa2e6ebeee20,,c18afceb-6632-4257-8c35-f47f3ed58b9c,CSB2,csb2,5,Building,bu,47.43,-15.793
CSB Saf Fjkm Ambatomainty,active,create,45827c9e-73b6-4a6a-9c83-9c5e5628a8c2,,97b23abc-c59b-4ab2-a208-00cb1c2937f6,CSB2,csb2,5,Building,bu,45.666,-18.704
CSB Saf Fjkm Ambatondrazaka,active,create,7d957e52-d17d-4cb8-8c0a-c01198d71658,,460c2bec-03b1-4c85-a28e-cb38f4cbadfc,CSB2,csb2,5,Building,bu,48.423,-17.831
CSB Saf Fjkm Ambatovola,active,create,28e3b953-f142-47ec-b9d5-1cadad12ab8b,,6bfb6f1b-ba2f-4c8b-91d8-2e7cb5a3c4c6,CSB1,csb1,5,Building,bu,48.514,-18.948
CSB Saf Fjkm Ambodifiakarana,active,create,bdf7d815-333d-4544-8bfc-3c2a55bb788f,,87073296-0c8f-4c3d-be03-657969c6517a,CSB2,csb2,5,Building,bu,47.526,-18.9
CSB Saf Fjkm Ambodimita,active,create,f6ce6d5a-4700-48ba-8f75-cb109940c8b8,,a5e56324-dfbe-4373-827e-772232cfc7e0,CSB2,csb2,5,Building,bu,,
CSB Saf Fjkm Ambohimahasoa,active,create,947410f1-bf96-4727-bcf2-2071d62e74fd,,9ba2942d-0a1d-4d2b-af7e-746d84613a39,CSB1,csb1,5,Building,bu,,
