locationname,locationstatus,method,locationid,locationparentname,locationparentid,locationtype,locationtypecode,locationadminlevel,locationphysicaltype,locationphysicaltypecode,longitude,latitude
EPP Miakara I,active,create,e38a98b6-f63e-46c7-b0d0-e1f0e79fa6ec,,9f48cfda-9cea-4f5c-b417-c536524579d9,EPP,epp,5,Building,bu,,
EPP Miakara Ii,active,create,725d37db-a611-493e-9138-a37bd5d369a3,,9f48cfda-9cea-4f5c-b417-c536524579d9,EPP,epp,5,Building,bu,,
EPP Miandra,active,create,fda7fd4b-5887-4289-bccf-8ea52f34878f,,d2953469-fbf7-4ece-a9df-8c1b00a96ede,EPP,epp,5,Building,bu,,
EPP Miantsoarivo,active,create,f9bbdbe8-3e3c-4db7-b037-365d03367dea,,84f1ce51-103f-4f9e-8901-053ad038b0dc,EPP,epp,5,Building,bu,47.801426,-22.430382
EPP Miaranony,active,create,280dece6-dddd-499f-9a5a-cd54e189d122,,ad8e0995-d16c-4b3c-a5d8-f0986d4adff6,EPP,epp,5,Building,bu,,
EPP Miarentsoa,active,create,a49569ae-81e0-460e-97ea-b0f7f7de832b,,72910f8e-391a-4ad0-adfd-22dc7a7f759c,EPP,epp,5,Building,bu,,
EPP Miarinarivo,active,create,1ef20ae2-3d5d-411c-bbf9-44e3d2ee8956,,6fed2284-660a-47a5-ab55-e538fce95bf4,EPP,epp,5,Building,bu,,
EPP Miarinarivo,active,create,5795f71e-5c7f-4997-b53a-62ce6ae92ca1,,3a7d8ffc-f33a-4560-8ded-561214de9e13,EPP,epp,5,Building,bu,,
EPP Miarinarivo,active,create,6897096c-1d95-4b8c-a0e6-6e20d4cb7b5d,,309ea2e1-8827-4ab5-962c-f7474094185a,Water Point,water_point,5,Building,bu,49.18185,-17.63283
EPP Miarinarivo,active,create,731c15db-c8f8-4e39-ac85-fb507ef373fb,,faa85abb-bd9b-495f-8549-5efba48da916,EPP,epp,5,Building,bu,,
EPP Miarinarivo,active,create,75af2067-aaa7-479b-968d-c4e0b8b2d5e0,,309ea2e1-8827-4ab5-962c-f7474094185a,Water Point,water_point,5,Building,bu,49.17644,-17.64196
EPP Miarinarivo,active,create,7cef2e0d-a20c-4477-bbce-b6c17d70078c,,125ca331-18ac-4bdb-86cf-ea6bfd8d78fa,EPP,epp,5,Building,bu,,
EPP Miarinarivo,active,create,9ea5c7e1-0498-4dbd-8877-c6ffd8505ac8,,a0b2132b-c132-467c-af4f-b3f230510759,EPP,epp,5,Building,bu,,
EPP Miarinarivo,active,create,bfad3ad9-3b6e-4e0f-aa25-62fed0a96624,,1e19d760-23c5-4574-a659-ebb3172033aa,EPP,epp,5,Building,bu,,
EPP Miarinarivo,active,create,d0bdb073-5b9b-4cd2-98f0-5fac47960828,,5d7f54c9-bed4-4d0d-98a2-132b024f076e,EPP,epp,5,Building,bu,,
EPP Miarinarivo,active,create,dcda75a7-17c8-4ffe-be78-b82873562df7,,81ce658e-f241-412e-a680-64e590864e4f,EPP,epp,5,Building,bu,,
EPP Miarinarivo,active,create,df322cfb-fde9-451d-b851-81317f73841b,,6ec8fb0f-983a-4398-ab57-1f285003275c,EPP,epp,5,Building,bu,,
EPP Miarinarivo Antavolo,active,create,ba871856-6806-47ef-86da-28ccd708d4a8,,30a4dc14-5e5e-4fac-8d7a-aee7e70a9340,EPP,epp,5,Building,bu,,
EPP Miarinarivo Nord,active,create,25f088f5-8d2f-4141-9cda-14a20f232a70,,fe7ec12f-51a4-41f6-9e29-262df5c89b66,EPP,epp,5,Building,bu,,
EPP Miarinarivo Sud,active,create,a82a3769-8f76-405b-a230-237dccef797d,,fe7ec12f-51a4-41f6-9e29-262df5c89b66,EPP,epp,5,Building,bu,,
EPP Miarintsoa,active,create,6e9cc236-2f81-4bce-9f47-bfeced758c3d,,5c823676-3a79-4633-9d0e-5579ca10794d,EPP,epp,5,Building,bu,,
EPP Miary,active,create,4c185aea-7209-440f-8ba6-f0dabd287193,,8580a687-cfd7-4ca7-85df-12e585021277,Water Point,water_point,5,Building,bu,45.21262,-24.28615
EPP Miary Lamatihy,active,create,3e369d75-fa0b-4f26-a423-3dd19a3552f8,,26e0a0e5-1a9e-433d-8c5d-9cddf4f6c08a,EPP,epp,5,Building,bu,,
EPP Miary (Manabina),active,create,cb84dcda-7d5e-4c19-bc2f-8fa78e02be6d,,f125d884-4366-459a-9989-b9dd840687e3,EPP,epp,5,Building,bu,,
EPP Miary Nord,active,create,2a4679ee-884d-47d5-b9ee-47128578fac6,,0daeae6e-7ac0-475c-b16a-ca693a2becb2,EPP,epp,5,Building,bu,,
Epp Miary Ouest,active,create,c469bf9c-4c9d-492f-87e9-f3926ca9dd5d,,f0ec4526-d5d8-4c7b-b924-bac45cdb54cd,EPP,epp,5,Building,bu,,
EPP Miary Ranomafana,active,create,ff016ba9-0803-47a6-b572-c078166e0e2c,,647823e8-5464-46fb-ac7a-3e636b29056a,EPP,epp,5,Building,bu,,
EPP MIARY SARODRANO,active,create,cdece240-8d05-4f55-a7c2-9cbad736c4dc,,366cee99-fa7b-449c-b4e5-357bbd7a94ad,EPP,epp,5,Building,bu,,
EPP Miary Taheza Zankera,active,create,b693a648-7985-487a-8c56-54ccb041af36,,0ade5cab-e586-4983-b361-2c8c15079b11,EPP,epp,5,Building,bu,,
EPP MIARY/TOBY,active,create,a5c951e3-411b-40df-bfc2-78f134ddae96,,8580a687-cfd7-4ca7-85df-12e585021277,EPP,epp,5,Building,bu,,
EPP Mibay,active,create,dbf8c19f-1a59-4757-8cd2-ee718b564e8d,,39d61976-10b7-4335-ba63-545862f53b29,EPP,epp,5,Building,bu,,
EPP Mideboka I,active,create,2ebbb07a-eacd-4b42-a27c-b54159d2cc6a,,94644df2-a3bf-4fd3-90a3-5d44e7c22ef1,EPP,epp,5,Building,bu,,
EPP Mideboka Ii,active,create,f195d927-96b1-4086-8c35-398fa3c607db,,44fdd833-7d80-465b-916a-48e47588e441,EPP,epp,5,Building,bu,,
EPP Midongy Atsimo,active,create,1b631b01-0650-46b0-896c-818f71aeb30b,,fb9692ef-8243-4a10-8bda-2c970fba1f56,EPP,epp,5,Building,bu,,
EPP Midriso,active,create,70a45426-ad41-463a-b54d-a172ce3390d6,,a13f8619-c783-4745-9afc-bf14c24da18b,EPP,epp,5,Building,bu,,
EPP Midriso Afovoany,active,create,2d99d76b-c9f5-462b-8542-fc59b7814d24,,a13f8619-c783-4745-9afc-bf14c24da18b,EPP,epp,5,Building,bu,,
EPP Mihaiky,active,create,0f22215f-1078-4a91-b607-d9761843df86,,9468774d-810a-4839-b443-34b0ab76cc2a,EPP,epp,5,Building,bu,,
EPP Mihaiky,active,create,44b1a7a4-c977-4c92-8b07-a02dab04d307,,c6affba3-0fd2-4b52-84c5-c412049d1baa,EPP,epp,5,Building,bu,,
EPP Mihaiky,active,create,a658faf2-3f7c-4e5c-87ba-0bb6f395ea37,,5760df4c-d71e-47ec-b2db-3965ac5b4a96,EPP,epp,5,Building,bu,,
EPP Mihavatse,active,create,0490c5d0-b67e-4df4-8cf0-525ab73acbec,,86181f78-307c-4aee-aa9b-2b0fe9abf999,EPP,epp,5,Building,bu,,
EPP Mikaikarivo,active,create,33418c94-602c-469f-a26c-2b9ae427016c,,b3a9cd44-2054-4c04-944d-f87e3c895b8f,EPP,epp,5,Building,bu,,
EPP Mikaikarivo,active,create,f4c56395-c2b4-40fd-a9b3-245230b26c9b,,f8b74dab-1525-4369-bc42-62ae7cc0cdac,EPP,epp,5,Building,bu,,
EPP MIKAIKARIVO,active,create,d339cdee-0710-4448-a441-20db7498c268,,c88c6d52-991b-4d70-b832-158ee527e297,EPP,epp,5,Building,bu,,
EPP  MIKAIKARIVO,active,create,044998be-0089-4a26-b00d-4a2674c227bb,,c88c6d52-991b-4d70-b832-158ee527e297,EPP,epp,5,Building,bu,,
