locationname,locationstatus,method,locationid,locationparentname,locationparentid,locationtype,locationtypecode,locationadminlevel,locationphysicaltype,locationphysicaltypecode,longitude,latitude
EPP Ambohimarina,active,create,162ccc50-9ec2-4aea-b8b5-186cbb0b9227,,eadf078b-2054-4723-8af1-5d16c18ac240,EPP,epp,5,Building,bu,,
EPP Ambohimarina,active,create,1bebc914-6b2b-433d-b696-138c1b054aac,,57a2aa2e-97fc-4e64-b90f-e7a75680456d,EPP,epp,5,Building,bu,,
EPP Ambohimarina,active,create,5fc90ec8-649b-4814-8832-2bf66b56c0ba,,74392b2e-e7a8-4629-839e-493ab1dcdb4e,EPP,epp,5,Building,bu,,
EPP Ambohimarina,active,create,6a1324e0-a85b-4933-a486-cc6b06204833,,05298366-d8c0-4f72-9f10-9669e8f06b0b,EPP,epp,5,Building,bu,,
EPP Ambohimarina,active,create,84696daa-c8d8-4c87-a41b-c648132c0627,,31fb102e-06bb-43bd-b8e6-c840d75bafc0,EPP,epp,5,Building,bu,,
EPP Ambohimarina,active,create,9d655c4f-f5a3-4bd9-9e78-608050dfeac9,,ed2478df-2164-40bf-8315-69dcc38c962e,EPP,epp,5,Building,bu,,
EPP Ambohimarina Ii,active,create,f6bd834d-481e-42a1-bb1b-62bc8fcfcf3f,,58748f98-a17c-44d2-9ebf-dd44deaedb6f,EPP,epp,5,Building,bu,,
EPP Ambohimary,active,create,0e94f2c4-827e-46f5-afa8-b888c71bc3a0,,892635d0-c138-4e87-8855-908198c91d62,EPP,epp,5,Building,bu,,
EPP Ambohimary,active,create,48df2a11-5c88-4749-b5c7-720bc6304417,,6202e81a-d59b-4a72-aa5e-22c2f2096941,EPP,epp,5,Building,bu,,
EPP Ambohimary,active,create,fa2a36b3-04a2-4225-8901-26d9b301c002,,6dc23312-1bf9-4099-959e-c21ff83439fc,EPP,epp,5,Building,bu,,
EPP Ambohimary I,active,create,d704ed67-c57e-4c19-a688-27d8701d6ffd,,7ca0b7db-78bd-4878-97d3-1042f4353e68,EPP,epp,5,Building,bu,,
EPP Ambohimasina,active,create,799e23f5-4c5a-4af5-be1c-d74dc839eca3,,ad8e0995-d16c-4b3c-a5d8-f0986d4adff6,EPP,epp,5,Building,bu,,
EPP Ambohimena,active,create,7e33810b-3d03-4e29-9e0e-7b99ec854510,,6614ec43-fa7a-4f08-9a02-9acaf9ceebec,EPP,epp,5,Building,bu,,
EPP Ambohimena,active,create,d7b65516-5b06-4354-9b53-14bf8f6e3d8e,,9cd81608-a6ce-4bc4-802e-195ddf96f2fa,EPP,epp,5,Building,bu,,
EPP Ambohimena,active,create,fa489d5a-36cb-4640-ac0d-cf235d560d3a,,02931700-6ed5-4c5e-9d9e-7220407d7e7e,EPP,epp,5,Building,bu,,
EPP Ambohimeva,active,create,735c5cff-a403-4ac4-a441-7866fb2054ec,,8b8d203f-0175-4f00-94cf-66b2539b1031,EPP,epp,5,Building,bu,,
EPP Ambohimiadana,active,create,8506bc96-a6d5-4264-b984-581e2bbce04a,,d2615195-bb19-4a01-bdc3-3cfc37616feb,EPP,epp,5,Building,bu,,
EPP Ambohimiarina,active,create,002b2ee2-9c87-427f-a005-d4d1bb58b746,,20d4e593-6bb4-48cb-a597-b30efa1a37bf,EPP,epp,5,Building,bu,,
EPP Ambohimiarina,active,create,0b60c683-5961-44d8-8b2c-9a7d9d0da021,,3ad07555-e4d1-48cc-b4e1-28e64597c468,EPP,epp,5,Building,bu,,
EPP Ambohimiarina,active,create,1210b9de-f9a4-4f66-ad54-d7af33b3ae95,,9b606a8a-d316-4943-88d9-020a4a3d0bf7,EPP,epp,5,Building,bu,,
EPP Ambohimiarina,active,create,13c77471-b457-4561-bf19-d4fe7e89ba6a,,7d0c14f2-b640-4dd9-8fe8-ea832cd858db,EPP,epp,5,Building,bu,,
EPP Ambohimiarina,active,create,32a8047f-7a8b-470d-8db0-f890535f465d,,8d03fa63-211c-49c9-b6ba-cda28184bdf7,EPP,epp,5,Building,bu,,
EPP Ambohimiarina,active,create,35dfd703-9daf-4362-89fd-6a26d40a59b9,,125ca331-18ac-4bdb-86cf-ea6bfd8d78fa,EPP,epp,5,Building,bu,,
EPP Ambohimiarina,active,create,4e46746c-43a7-4116-bb26-2ef90b46276f,,d2615195-bb19-4a01-bdc3-3cfc37616feb,EPP,epp,5,Building,bu,,
EPP Ambohimiarina,active,create,55402d45-454e-4c99-bf3f-d914e13871d9,,332b1f10-dfc2-410c-bfda-1f4d927a4b3f,EPP,epp,5,Building,bu,,
EPP Ambohimiarina,active,create,576fd4f5-b9ab-4a39-a7d7-a84dcfbc60b5,,15e302e4-3ab6-416c-99b0-1562879f0271,EPP,epp,5,Building,bu,,
EPP Ambohimiarina,active,create,7ea44bc0-4d76-4b99-a45c-caf2b66766cd,,e2dc2e6a-dd97-4b1d-9bf4-3f4b6776555b,EPP,epp,5,Building,bu,,
EPP Ambohimiarina,active,create,81d45f96-01dd-42c6-b0fe-95af2a778df2,,6245ddcf-dac4-4161-beba-253c40eb5c67,EPP,epp,5,Building,bu,,
