locationname,locationstatus,method,locationid,locationparentname,locationparentid,locationtype,locationtypecode,locationadminlevel,locationphysicaltype,locationphysicaltypecode,longitude,latitude
Ecole Communautaire Kilemirimbo Centre,active,create,e30a7eb6-50e1-4a49-9142-5f7cb827a053,,e67dc645-901f-4fd1-897c-0614b4011b48,EPP,epp,5,Building,bu,,
Ecole Communautaire Kilero,active,create,b20909d9-04dc-4bf5-9d14-fd506cd7f256,,e67dc645-901f-4fd1-897c-0614b4011b48,EPP,epp,5,Building,bu,,
Ecole Communautaire Kiletono,active,create,82696d1c-1e00-4e96-af32-87bb895a338f,,89a67109-8797-47cd-88c6-847e829ff4ae,EPP,epp,5,Building,bu,,
Ecole Communautaire Kilibory I,active,create,85f7362c-1c1c-40d7-a734-f18e35887821,,5640925e-c387-4e5b-99a5-85966df10cdf,EPP,epp,5,Building,bu,,
Ecole Communautaire Kilibory Ii,active,create,0e857cd7-548a-41ff-aed3-c9c2a65488c4,,5640925e-c387-4e5b-99a5-85966df10cdf,EPP,epp,5,Building,bu,,
Ecole Communautaire Kililignisa,active,create,02f8806e-c9da-4898-a204-7f953fc6235f,,e67dc645-901f-4fd1-897c-0614b4011b48,EPP,epp,5,Building,bu,,
Ecole Communautaire Koboary Ambatomasy,active,create,35fb4c2f-977f-420e-80e2-6cf7fb6a6ce5,,8746b844-7ee5-4c7c-9cc1-60fc3c529b15,EPP,epp,5,Building,bu,,
Ecole Communautaire Kobokara,active,create,0d7a5f98-db38-4f05-ac40-cde0f64a673c,,89a67109-8797-47cd-88c6-847e829ff4ae,EPP,epp,5,Building,bu,,
Ecole Communautaire Kotovogne,active,create,4d80b8de-ce5f-43c0-b374-d7fb3666e38a,,24d11874-2fdf-4cd6-b1ce-2cc978f7fb24,EPP,epp,5,Building,bu,,
Ecole Communautaire Lahimanara-Haut,active,create,673a88cd-8e16-4ed8-9935-d542b4539f1e,,38679362-2eb0-4eb1-87d0-6b78fa7e733d,EPP,epp,5,Building,bu,,
Ecole Communautaire Lahitsitely,active,create,6498ba2a-6141-4bdd-bcdd-683ea170e230,,e67dc645-901f-4fd1-897c-0614b4011b48,EPP,epp,5,Building,bu,,
Ecole Communautaire Lakateza,active,create,02253d4e-ef70-442d-813c-abeab3ab49ac,,bfb2c9de-1767-4676-ac0a-104c01092604,EPP,epp,5,Building,bu,,
Ecole Communautaire Lalangy,active,create,71f76035-fc0f-4895-b227-7eacb9fe4c4d,,74d6ecda-0ec1-4e0e-b32c-a1550eda16d7,EPP,epp,5,Building,bu,,
Ecole Communautaire Lalekamamy Mangatsy,active,create,da3aee4a-dd6f-4089-9d43-9934315edc0d,,e4917b1e-95b5-405e-ab55-8705a0e4c512,EPP,epp,5,Building,bu,,
Ecole Communautaire Lalikamany,active,create,d38db61d-b36c-485f-a37f-3ffc58ee8d98,,e4917b1e-95b5-405e-ab55-8705a0e4c512,EPP,epp,5,Building,bu,,
Ecole Communautaire Lambomanty,active,create,ea44a2f6-6829-46ba-822c-c52efe273156,,84a0d267-b156-44f8-8b14-dccc838762ea,EPP,epp,5,Building,bu,,
ECOLE COMMUNAUTAIRE LAMBOMANTY TANTSOA,active,create,e616d0bd-8a02-417c-9f69-4bf2f88ccb2c,,84a0d267-b156-44f8-8b14-dccc838762ea,EPP,epp,5,Building,bu,,
Ecole Communautaire Lampenihely,active,create,8c9abd90-08e9-4b53-aa40-4f677ecaacd0,,fb4109a8-aee4-4f44-a7a1-962e2cc4a856,EPP,epp,5,Building,bu,,
Ecole Communautaire Lampilava,active,create,8095e5ae-7cb8-4e1d-b889-17558d57089f,,58748f98-a17c-44d2-9ebf-dd44deaedb6f,EPP,epp,5,Building,bu,,
Ecole Communautaire Lanirano,active,create,f741c02b-e343-4d13-9429-2f190daea066,,e67dc645-901f-4fd1-897c-0614b4011b48,EPP,epp,5,Building,bu,,
Ecole Communautaire Latsahambola,active,create,b83939c9-b93d-48c7-8bbf-2bc42611646c,,d0a79494-c31d-4009-86ca-c1decbc3d6d9,EPP,epp,5,Building,bu,,
Ecole Communautaire Lavahasy,active,create,870ddc3e-a391-40a6-abb2-3f802fef4952,,437a9492-22a6-4e12-9d03-efe8f0fa03b0,EPP,epp,5,Building,bu,,
Ecole Communautaire Lavakianja,active,create,385f5907-2599-4dfb-93ce-2ef93257a09b,,8a099f9e-14f6-415c-8328-9ab6df6d19a0,EPP,epp,5,Building,bu,,
Ecole Communautaire Lavakianja,active,create,4d1999a9-191d-463b-b819-1dbbdc4c700f,,2055c2a0-401c-4c8a-b2a0-d1b23449c3b6,EPP,epp,5,Building,bu,,
Ecole Communautaire Lavakianja,active,create,7533e6fc-43ab-495e-91a6-0e0feddf5cea,,e7420f45-58df-446d-a584-b303dc69026b,EPP,epp,5,Building,bu,,
Ecole Communautaire Lavakianja I,active,create,0be7dc22-85de-4cd0-8a36-d13a7b2e50b6,,934e3063-45ac-4a16-86ac-53f10c63b0e3,EPP,epp,5,Building,bu,,
Ecole Communautaire Lavarongana,active,create,0423b36c-f225-4f44-985b-a552e1b76c9c,,69b0e332-3196-47e1-82f4-948dabdd1160,EPP,epp,5,Building,bu,,
Ecole Communautaire Lavavolo,active,create,326a2501-1252-4f8d-8204-ed1fafec8910,,437a9492-22a6-4e12-9d03-efe8f0fa03b0,EPP,epp,5,Building,bu,,
Ecole Communautaire Lazaret Morafeno,active,create,c340a9f1-b651-4456-bdaa-60376bfc8708,,ce482abc-bcaf-4bdd-b4d3-a11e95b5693f,EPP,epp,5,Building,bu,,
Ecole Communautaire Lazarivo,active,create,b86e8110-b0bd-42ae-891a-bac689ec149b,,882803ed-5f77-4f96-a53b-65e2fa842430,EPP,epp,5,Building,bu,,
Ecole Communautaire Lofeke,active,create,210a7d46-2cbc-4c04-bf94-2164b04a0e0b,,45080bdf-d7cf-4745-b19b-f06c4dac96c0,EPP,epp,5,Building,bu,,
Ecole Communautaire Lohakondro,active,create,1de20982-fd02-49c8-9c9f-a7a92bc0f2e2,,41ba0173-31f2-4d29-be8c-29a9e2f941f2,EPP,epp,5,Building,bu,,
ECOLE COMMUNAUTAIRE LOHAOSE,active,create,b467632f-ce18-439d-b14d-9a27a6668e8a,,4a4c7fe2-5003-44c2-b405-2d5850b612a3,EPP,epp,5,Building,bu,,
Ecole Communautaire Loharano,active,create,f6289976-edbc-41cb-920e-baa2d4131355,,68f938ca-5f90-44da-9cd5-f786622f1e30,EPP,epp,5,Building,bu,,
Ecole Communautaire Madiofasina,active,create,8d21d17b-34a5-4f57-b2bc-e13aa233f70c,,05d247a1-575a-4a84-9fa2-58416adfda82,EPP,epp,5,Building,bu,,
Ecole Communautaire Madiofasina,active,create,c29587af-859c-475e-bd84-6350a28ef003,,61714fe1-236b-46cd-9e98-fe653d31dff7,EPP,epp,5,Building,bu,,
