locationname,locationstatus,method,locationid,locationparentname,locationparentid,locationtype,locationtypecode,locationadminlevel,locationphysicaltype,locationphysicaltypecode,longitude,latitude
CSB Antambohobe,active,create,f218e8dd-2c2d-4020-9aa7-094480f7ac1f,,d060fddd-1204-42b2-8595-305216890c67,CSB2,csb2,5,Building,bu,46.775,-21.58
CSB Antambolo,active,create,7717ed42-2313-40b5-9146-def6c606a132,,4ccfcff8-9a13-458c-8fbd-72ad2ae62961,CSB1,csb1,5,Building,bu,47.318,-23.098
CSB Antambolo,active,create,dbddaf3e-bb23-49f1-bf66-7411867184b4,,19191ef6-0c25-4b1c-9e15-1ca81c3429f7,CSB1,csb1,5,Building,bu,47.318,-23.098
CSB Antamiana,active,create,79fe6805-9a0a-4837-b117-af6b396c1a1f,,6c10ccb8-891f-48f9-8c40-5b4ab2be4b14,CSB2,csb2,5,Building,bu,47.807,-15.855
CSB Antanamalaza,active,create,37d21b86-89df-4207-a3d7-c7b1a5b0f832,,7919cbbb-8017-4cd3-809f-be2ab34aafb3,CSB1,csb1,5,Building,bu,,
CSB Antanamalaza,active,create,3e2b7235-a20d-40c9-886a-31351fbdef96,,168d3ad4-2191-442d-ba22-afff427ad27e,CSB2,csb2,5,Building,bu,47.142,-19.52
CSB Antanamalaza,active,create,9140c4f1-29e7-4e96-b5ea-848588f12b88,,e679ffcd-26dc-4636-97ea-16bcfa4b47e9,CSB2,csb2,5,Building,bu,,
CSB Antanamarina,active,create,83298f32-4563-40e2-af0e-7a264085050d,,ea97d759-6d25-46c0-a3a8-7e868ec2344f,CSB1,csb1,5,Building,bu,,
CSB Antanambola,active,create,93da5f2e-8ef9-4342-83a8-1f614168a43c,,b63e5ef9-20a9-46a0-aa86-23a87f91ed22,CSB1,csb1,5,Building,bu,48.723,-14.532
CSB Antanamiketraka,active,create,4c70a84d-5fec-4520-9d50-dfcdf117a253,,db6f2c42-0817-4958-bdfb-1086153f9e6f,CSB1,csb1,5,Building,bu,49.976,-14.59
CSB Antanamitarana,active,create,5bd037f5-770f-4684-aaaf-a9831f35f222,,be2fb106-68ea-408e-aca8-cb0c8800f846,CSB2,csb2,5,Building,bu,,
CSB Antananabo,active,create,eefcea1c-2989-4dda-aaae-67e56158396f,,ad0af55c-3b5d-4c08-b54b-d311e6df290d,CSB2,csb2,5,Building,bu,,
CSB Antandrokomby,active,create,04139541-7e0b-4edd-a87d-f874079ac28f,,0b6930c1-aa45-499c-916f-21eb2778bded,CSB2,csb2,5,Building,bu,48.054,-19.64
CSB Antandrokomby,active,create,91d308b6-a3b8-4a2e-a017-10e6e8d1d66b,,925a78d0-e532-40f7-85a3-c1cba1553220,CSB1,csb1,5,Building,bu,48.504,-17.697
CSB Antanetibe,active,create,675e3bd1-6044-460e-a621-52481723f44b,,836bf2d1-5fbc-4db7-b68c-b517c2421068,CSB2,csb2,5,Building,bu,47.557,-18.558
