locationname,locationstatus,method,locationid,locationparentname,locationparentid,locationtype,locationtypecode,locationadminlevel,locationphysicaltype,locationphysicaltypecode,longitude,latitude
CSB II Anilobe,active,create,7def2630-fdf7-40d3-bffb-a84ea9442408,,1bb1295a-ad1e-4a20-a8d2-5a0bb26d6691,CSB2,csb2,5,Building,bu,47.4776,-23.1996
CSB II Anivorano Est,active,create,46e31afd-4122-46e7-92c5-686a244c58ab,,3b9affb7-0fbd-459f-a5a5-3f39690effce,CSB2,csb2,5,Building,bu,48.9818,-18.7362
CSB II Anivorano Mitsinjo,active,create,7d2dc51b-e9ff-42cb-a844-fd7ed8501e1e,,88110fe0-525c-401c-b444-41e6a75a5b51,CSB2,csb2,5,Building,bu,45.6233,-24.3511
CSB II Anjahamana,active,create,b6760e71-9cee-4820-89c9-6c1a45c1138e,,046ef3c1-593f-4045-b2d0-dbb8ddda46bc,CSB2,csb2,5,Building,bu,48.8327,-18.1704
CSB II Anjahambe,active,create,3c28197f-9a59-4b91-8810-0406f39993ba,,1ccffffe-9976-408a-adb6-98324b5c120c,CSB2,csb2,5,Building,bu,49.14643,-17.384834
CSB II Anjahana,active,create,fdb5324e-358a-4664-9dd2-77c5ae8a1efd,,d3bf37ac-c3d9-4826-922f-1fc5f7308b45,CSB2,csb2,5,Building,bu,49.866469,-15.412058
CSB II Anjanazana,active,create,35a7826e-0f63-444f-be4e-0a4d7af1f237,,275565fd-712a-424d-bf78-74e52dfe1854,CSB2,csb2,5,Building,bu,49.720475,-15.403613
CSB II ANJA NORD,active,create,018cda1e-b5c3-4145-9b2b-1af799ac55bf,,dfef62fd-14cb-41e0-9bbf-321d9a8b9311,CSB2,csb2,5,Building,bu,45.2812,-24.2694
CSB II ANJAPALY,active,create,1280fb6c-0337-44a0-b2fe-c4047ff63964,,113a292b-209d-4f6d-b7a3-aa7f6eb56186,CSB2,csb2,5,Building,bu,,
CSB II ANJATOKA Talaky-Bas,active,create,3dde26bb-d688-4c0b-9713-323fb62f8746,,edd7bc75-fc97-4748-840c-2fc554322284,CSB2,csb2,5,Building,bu,45.711091,-25.443815
CSB II Anjeke Ankilikira,active,create,e2fdb860-4512-44ed-bfad-b0c5cb56d76f,,4b9fa4c2-2980-4a15-97e8-83c2948c2b54,CSB2,csb2,5,Building,bu,46.238998,-25.058285
CSB II Anjiaija,active,create,6b296dd5-dc47-4b03-a5e5-f9e7f6559bb0,,5bf70899-6782-4600-885d-5ad0a6737824,CSB2,csb2,5,Building,bu,46.9498,-16.4609
CSB II ANJIAJIA,active,create,ab5044dd-e4b0-4e6b-a9b1-ad6b70489550,,03380fbe-d484-41ee-a8bc-24313e5e3788,Water Point,water_point,5,Building,bu,46.94992778,-16.46076389
CSB II ANJOMA,active,create,11c35c05-0c7f-40d4-a234-f707b659d7eb,,35f78db6-2235-4540-85f0-6ce8c075608d,CSB2,csb2,5,Building,bu,47.034758,-21.890947
CSB II Ankaramena,active,create,95f3fb01-8843-4eac-93a2-407afef20c13,,449f3116-932e-47b8-99f3-d5dab0a81f7f,CSB2,csb2,5,Building,bu,46.766083,-25.036792
CSB II Ankarana,active,create,c116247e-31a0-4c87-9adf-44c84b2180eb,,9d134109-1521-4a0f-857d-29059588718d,CSB2,csb2,5,Building,bu,47.6305,-23.0852
CSB II Ankaranabo Nord,active,create,d10bf402-44f9-4941-9e5e-3a8cd7c0ec84,,fff386bb-d84f-435f-9b88-e25027d06662,CSB2,csb2,5,Building,bu,45.2859,-24.195
CSB II Ankaraobato,active,create,2e923535-7679-4626-86d5-844de340177a,,5314f841-ab8d-439d-977d-3776c6af9ab2,CSB2,csb2,5,Building,bu,46.1884,-16.183
CSB II Ankaraobato,active,create,afc77a86-8a83-459c-b329-624b531f92a5,,d32b989c-69a4-4e30-9c15-2d4f701150dd,CSB2,csb2,5,Building,bu,43.6152818,-22.7986092
CSB II Ankariera,active,create,9f1d2157-0d89-41d0-acb4-58daccf07f09,,f2f3e7a0-b647-4545-9cbe-01d31519481f,CSB2,csb2,5,Building,bu,46.596069,-25.014765
CSB II Ankarimbary,active,create,cbbb3f94-1ad9-48eb-abf9-95a6effd92b4,,5aad6046-70a7-4c2c-8229-9845f7cd84c5,CSB2,csb2,5,Building,bu,47.8044,-22.3002
CSB II Ankarimbelo,active,create,feab49cc-43ca-45bb-bd61-d6936fa2f794,,bbbfc03a-3dda-4657-8e5f-ca1d8d641b0f,CSB2,csb2,5,Building,bu,47.3293,-22.1337
CSB II Ankatsakantsa Sud (Ambiky),active,create,1e83742a-2e63-407b-b85b-b7b9c025f4a0,,f5f5ca62-9c92-4a75-b7f5-3bd7e69c3fcb,CSB2,csb2,5,Building,bu,43.8953339,-21.8840877
CSB II Ankazoabo Sud,active,create,f1b64f9d-32ee-4603-89ac-2c968b00956f,,0daeae6e-7ac0-475c-b16a-ca693a2becb2,CSB2,csb2,5,Building,bu,44.5102,-22.2928
CSB II Ankazomanga Ouest,active,create,ab1cfaa7-29e0-4dda-9699-12017f2201ea,,2a6c5d0f-25d2-463a-ac89-0e4a8870bcf7,CSB2,csb2,5,Building,bu,44.1347159,-23.6499996
CSB II Ankazomborona,active,create,9300aea0-80af-4d9a-83d3-97f1b452d109,,6614ec43-fa7a-4f08-9a02-9acaf9ceebec,CSB2,csb2,5,Building,bu,46.757,-16.114
CSB II Ankazotsifantatra,active,create,415da732-2c78-44f0-85a1-a7e9888a0440,,b264d2dd-d303-4f48-9a90-34e2205dfd37,CSB2,csb2,5,Building,bu,48.503279,-19.986167
CSB II Ankazovelo,active,create,7dd95d6f-9087-4c3a-9ef5-f603731e0896,,7a781fab-5cf6-44df-a9e6-9203b3fb9e2a,CSB2,csb2,5,Building,bu,47.007,-23.6576
CSB II Ankijabe,active,create,0e2c3d45-61c6-4f0c-b9d4-722fa2f62725,,2ac11983-82a5-40a1-81db-f326b996da2e,CSB2,csb2,5,Building,bu,46.76386,-16.41382
CSB II Ankililoaka I,active,create,da72e76a-b035-4e37-9c77-9c0999f96f1d,,8679b3d6-5cd2-452c-a750-64852aed9091,CSB2,csb2,5,Building,bu,43.6219466,-22.7656665
CSB II Ankilimalinika,active,create,964794f3-4329-40b3-9f9b-ceb505afa6ba,,99ce5217-e56b-46dd-9820-fbdc16e31a03,CSB2,csb2,5,Building,bu,43.5631184,-22.9550865
CSB II Ankilimivory,active,create,2561b5f5-c201-4cf6-b7c9-f794c5afe93a,,2e0f142a-d4e4-4d49-bb85-d88f3fb60663,CSB2,csb2,5,Building,bu,44.9742082,-24.4709301
CSB II Ankilivalo,active,create,d4f682d4-725e-41f8-80e8-188fa73a8e1f,,a13f8619-c783-4745-9afc-bf14c24da18b,CSB2,csb2,5,Building,bu,46.6892,-25.1053
CSB II Ankilivalo I,active,create,6b6c8179-e802-4599-bb46-d5969d22e393,,8716f270-e924-4c35-8587-440e68237be1,CSB2,csb2,5,Building,bu,44.632874,-23.276104
CSB II ANKILIVALOKELY,active,create,ccfc7a54-1550-4a70-9982-5b9a9f9919a0,,8746d348-a441-4564-adb1-72631230695e,CSB2,csb2,5,Building,bu,45.0418,-22.27
CSB II Ankilizato,active,create,2df37241-8c7d-42a7-aefc-9c472427c052,,ced122ee-d3d8-48e1-bfe3-85799e6f0bb4,CSB2,csb2,5,Building,bu,44.664521,-24.584084
CSB II Ankirihiry,active,create,621f24db-2c6e-4030-b92a-639ba0bf0a41,,a03b7be7-546a-49e0-8c1d-f5cf5899c817,CSB2,csb2,5,Building,bu,49.394207,-18.141907
CSB II Ankirihitra,active,create,189ca28c-f4c9-4f15-b1bd-9c4d2553996a,,75a2bcd7-15c5-4f04-90b5-4f4f255a614a,CSB2,csb2,5,Building,bu,46.443,-16.7726
CSB II Ankobahoba,active,create,6d849815-c566-4581-b3dc-b07cea795848,,17dd876d-083a-4489-991a-cd4ccaab3686,CSB2,csb2,5,Building,bu,,
CSB II Ankofa,active,create,5e59beb0-29a1-4030-b002-a2095ed8b907,,478b1db0-a323-49b5-ade6-49a10c4fb453,CSB2,csb2,5,Building,bu,49.64891,-15.397974
CSB II Ankofabe,active,create,23f0f847-2942-4cac-ac8a-9332b87dbdf6,,c57ca8c1-8a7e-4e4e-a256-966a4bb1fa8d,CSB2,csb2,5,Building,bu,49.616169,-15.51365
CSB II Anoloka,active,create,ce291dd3-d925-4750-8716-d0e94158bd7b,,660c874c-3d13-4f16-9cce-63253f2ecfc6,CSB2,csb2,5,Building,bu,47.893,-22.3378
CSB II Anorombato,active,create,250acc36-3d5f-42e5-b63f-c51e7777e44e,,4d47b70d-33b4-40d0-a30e-d533f97027ee,CSB2,csb2,5,Building,bu,47.7909,-22.0188
CSB II Anosiala,active,create,d5af0db7-1556-4d95-9a43-0ad6b797d69f,,1924b614-2fdb-4a0c-86ca-6eb56d9f09bf,CSB2,csb2,5,Building,bu,48.0008,-22.0424
CSB II Anosimanasa,active,create,d267faca-3c0c-4386-8f2e-599886b6b14b,,8d8b9857-3571-4c83-85d8-34abe34e550c,CSB2,csb2,5,Building,bu,48.9147,-19.2277
CSB II Anosimparihy,active,create,505d7136-e7c7-44e6-9093-387318bff5dc,,67549f20-ca9c-4f98-8c68-10dfc69193f9,CSB2,csb2,5,Building,bu,47.9933,-21.5052
CSB II Anosinalainolona,active,create,4b9bb6e0-618f-48e8-85d0-ecc17898ca98,,9cd81608-a6ce-4bc4-802e-195ddf96f2fa,CSB2,csb2,5,Building,bu,46.6215,-16.1838
CSB II Anosivelo,active,create,5d0883f2-b499-4cad-aaf3-b329c0e37d4f,,5c4426f6-3612-499a-bf76-56323c7a65b1,CSB2,csb2,5,Building,bu,47.7882,-22.7405
CSB II Anosy Tsararafa,active,create,f720488b-5051-4979-8470-bc8e198662f0,,8ba081d1-b759-4f50-b94a-d68c50add8a7,CSB2,csb2,5,Building,bu,47.8098,-22.7241
CSB II Antakotako,active,create,e9c4aa3c-c06c-439d-a737-2340b5b5f568,,f7a1db24-e8a7-4732-8b48-a21b05bd5007,CSB2,csb2,5,Building,bu,49.80232,-15.332042
CSB II Antaly,active,create,e2c9c96b-c521-40bb-88ee-86a2570723e8,,d02f2a46-3b1c-4474-8bf8-a6ad8d680093,CSB2,csb2,5,Building,bu,44.764375,-24.347597
CSB II Antanambao Andranolava,active,create,bb5d7eee-d0d6-443b-a79c-d338f8684a34,,46fc74b7-9406-4337-b596-2dfe4cb5eb95,CSB2,csb2,5,Building,bu,46.6945,-15.9955
CSB II Antanambaobe,active,create,f75f0ed2-de96-4ff6-9709-2516f21964cb,,3e7c9d72-f28d-4d2a-920e-9329711a4868,CSB2,csb2,5,Building,bu,49.668432,-16.262066
CSB II Antanambao I,active,create,d1693399-9ab4-4d83-a9b7-3d604f2115ce,,563e8fe7-c54b-4b6c-af07-7cc42e2ffb6a,CSB2,csb2,5,Building,bu,47.8794,-20.5511
CSB II Antanambao Mahatsara,active,create,f260902b-36e5-4ab5-bb7e-f0e437a23bc4,,c4619687-4d15-4b33-b9c9-ff510a9596a6,CSB2,csb2,5,Building,bu,48.8006,-19.31
CSB II Antanambao Manampotsy,active,create,ada4dc6a-c914-4d41-809f-66807183bf35,,a0c3a73b-fcb4-4cc3-b617-4305cf6046f2,CSB2,csb2,5,Building,bu,48.5749,-19.4832
CSB II Antanambe,active,create,afee69e2-5f59-4466-88c4-fde1425ccbb9,,cd0c8f6f-d2ef-4dbd-9712-5ccc36c1e015,CSB2,csb2,5,Building,bu,49.848705,-16.433174
CSB II Antanananivo,active,create,388c8f84-db06-471d-96c7-814ccabe74db,,792897b4-e173-4f6d-a7d1-22c982f61f3d,CSB2,csb2,5,Building,bu,49.719648,-16.284361
CSB II Antanandehibe,active,create,97bdc135-b002-429f-8a7f-7a9f0f1ae3dd,,985f37ca-10ae-4dd4-9db1-1ac7f78d9449,CSB2,csb2,5,Building,bu,48.351435,-19.678757
CSB II Antanifotsy,active,create,8098461e-3cd1-48c4-a348-ef3308b4a5d9,,f8a96f70-3460-4957-bb58-146714a1de08,CSB2,csb2,5,Building,bu,49.613536,-16.874991
CSB II Antanimasaja,active,create,675f67c5-6079-427f-a74a-c3655c0c07bd,,a80de6c1-9347-4555-b53b-aa8141499f52,CSB2,csb2,5,Building,bu,46.3385,-15.7143
CSB II Antanimasaka,active,create,3bc986ce-410e-4d67-bb4a-d3f75ad210c9,,29ebb17d-d9f4-47f7-ae14-9acec399b358,CSB2,csb2,5,Building,bu,46.5135,-16.2345
CSB II Antanimena,active,create,4943ba4b-9e90-487b-81f6-d2ea1f6cd943,,46bec840-b14a-4ac4-b0e4-fd13e5c013dd,CSB2,csb2,5,Building,bu,44.1032,-23.5424
CSB II Antanimenakely,active,create,937bceed-5003-4e8a-b08e-4d87a4301a57,,913b79b1-0b8d-462f-b0d5-5c890df331cb,CSB2,csb2,5,Building,bu,,
CSB II Antanimieva,active,create,4d83f9e2-c322-4c5d-8dc9-77d704988fd7,,e7521037-19ad-41a9-b25f-dd44b89d453c,CSB2,csb2,5,Building,bu,43.77353,-22.246497
CSB II Antanimora Sud,active,create,67985b29-c834-447c-86fe-76756eed96cd,,d18ae17a-faae-4e40-bb4d-540641d494c0,CSB2,csb2,5,Building,bu,45.66243,-24.814494
CSB II Antaninarenina,active,create,43311a4b-736c-4e31-a1f2-1a01fd2b11b4,,a214dbf1-7e0e-4c5f-8284-f8315a6ea3a6,CSB2,csb2,5,Building,bu,46.940013,-23.945551
CSB II Antaretra,active,create,51fa191a-adec-4500-af4b-23cafa41e4f0,,496750e7-f664-4db0-bd90-1c49a23b732c,CSB2,csb2,5,Building,bu,47.778,-21.3559
CSB II Antaritarika,active,create,e81b7e30-e36c-4185-be48-bd89e05e4402,,5f666d29-8b8c-4ebf-a630-e2cad0cb3685,CSB2,csb2,5,Building,bu,45.7552,-25.3941
CSB II Antenina,active,create,b12e56bc-7174-47c6-9e44-39076d57bd30,,3c9bdc0f-03b9-4ddc-9252-d034e185915b,CSB2,csb2,5,Building,bu,49.250236,-16.572061
CSB II Antetezambaro,active,create,e2643ae8-96b6-4d20-a0c6-38751772b391,,5646edc8-2ab3-435d-91ff-22bd9fa97b14,CSB2,csb2,5,Building,bu,49.3873,-18.0697
CSB II Anteza,active,create,aaa9a688-8fc3-49d4-b1c1-d11cf177ad7f,,cd704253-690d-40a3-a00d-7cd22c2e7a48,CSB2,csb2,5,Building,bu,47.8712,-21.6689
