locationname,locationstatus,method,locationid,locationparentname,locationparentid,locationtype,locationtypecode,locationadminlevel,locationphysicaltype,locationphysicaltypecode,longitude,latitude
EPP Beronono Ii,active,create,cc8d0c35-ba24-434d-a94b-404a70978f2e,,409bb851-c200-4643-b590-5f0b2005e8d2,EPP,epp,5,Building,bu,,
EPP Beropiteke,active,create,4e59595f-da02-4332-a183-3db4f67e1ff5,,edd7bc75-fc97-4748-840c-2fc554322284,EPP,epp,5,Building,bu,,
EPP BEROPITIKE,active,create,c11be967-5029-453f-8f46-4f0c49f33db6,,edd7bc75-fc97-4748-840c-2fc554322284,EPP,epp,5,Building,bu,,
EPP Beroroha,active,create,12d79a5a-e35d-4195-b725-27f86ff5ddab,,f8f6820f-96eb-4999-82ec-8b809cff94de,EPP,epp,5,Building,bu,,
EPP Beroroha,active,create,8a320e90-f732-4a63-80a7-2af869b6089d,,ba2ac9bc-d750-4d66-8a12-c5d3f651267d,EPP,epp,5,Building,bu,,
EPP Beroroha Belamoty,active,create,03b2f84a-1245-498f-989a-218d565884fb,,647823e8-5464-46fb-ac7a-3e636b29056a,EPP,epp,5,Building,bu,,
EPP Beroroha-Est,active,create,9915d668-84e9-403f-b615-cc44c8c06e8f,,b0b75bc3-3d2d-4024-9c82-e6a48874899c,EPP,epp,5,Building,bu,,
EPP Beroroha I,active,create,dbaea8fe-8831-4d55-9be3-86745ad4a2af,,95ae107c-590c-4758-8f83-78282b05be16,EPP,epp,5,Building,bu,,
EPP Beroroha Ii,active,create,4d648690-64b7-4542-b422-d932c74ee268,,647823e8-5464-46fb-ac7a-3e636b29056a,EPP,epp,5,Building,bu,,
EPP Beroroha (Santatra),active,create,2cc77e21-e897-4452-98d8-84776b75db7a,,275b01e2-b768-435f-9478-cbea5577bae3,EPP,epp,5,Building,bu,,
EPP Beroroha-Ville,active,create,b55ae04a-f904-4ad6-8bd2-3202057ce4aa,,b0b75bc3-3d2d-4024-9c82-e6a48874899c,EPP,epp,5,Building,bu,,
EPP Beroroha Vohitsevo,active,create,7d79f220-fb42-4736-9f2b-d76d488509a3,,08a61379-f59c-415b-bc5b-b03d941a9787,EPP,epp,5,Building,bu,,
EPP Berotsy,active,create,834f7448-cd25-4a50-80a3-b81e409b91ba,,3b70614a-1355-45d6-9d03-beac91b44b56,EPP,epp,5,Building,bu,,
EPP Beroy,active,create,1631f9a1-5764-4353-9be1-51f6ecb60ee2,,be3d52e6-3858-492c-877d-fa9415694e26,EPP,epp,5,Building,bu,,
EPP Beroy,active,create,4885af98-f045-4524-b79a-169b0aa1c8d9,,700c68ef-f8dc-4f83-9339-037f8ef0c675,EPP,epp,5,Building,bu,,
Epp Beroy Sud,active,create,c91be750-bb07-49ce-ab70-0a314d7def44,,5640925e-c387-4e5b-99a5-85966df10cdf,EPP,epp,5,Building,bu,,
