orgname,orgactive,method,orgid,identifier,alias
HaingoCP,true,create,a99666cf-ad29-431b-a586-95c44385397a,a99666cf-ad29-431b-a586-95c44385397a,HaingoCP
Tojo Fenerive Est,true,create,7a98bea6-3e2e-4a94-8f36-0f41f660877f,7a98bea6-3e2e-4a94-8f36-0f41f660877f,Tojo Fenerive Est
Melanie Nutrition,true,create,2f1549f2-1ae4-4d8a-b851-a8f92f3bcdbf,2f1549f2-1ae4-4d8a-b851-a8f92f3bcdbf,Melanie Nutrition
AlainJose,true,create,4d747e79-efb5-46d4-b07b-61f89c84b961,4d747e79-efb5-46d4-b07b-61f89c84b961,AlainJose
AlainBruno,true,create,130922a6-9e59-4a38-950c-f4f0e1a9231f,130922a6-9e59-4a38-950c-f4f0e1a9231f,AlainBruno
Steve,true,create,69cc4f90-da24-4b71-a9dc-6e15e834ec1a,69cc4f90-da24-4b71-a9dc-6e15e834ec1a,Steve
ESARO,true,create,3fda1ecf-a7bc-4152-80fd-4bdea1f918bd,3fda1ecf-a7bc-4152-80fd-4bdea1f918bd,ESARO
Fanja Supply,true,create,436e1402-7dbc-41d4-ba99-26fe892b437c,436e1402-7dbc-41d4-ba99-26fe892b437c,Fanja Supply
Feno Mamy,true,create,71697e4e-f56d-455e-a2c6-613b1b2d7a18,71697e4e-f56d-455e-a2c6-613b1b2d7a18,Feno Mamy
Claudia,true,create,05eef98c-c529-41d6-b1f9-1c3ad69b4e2c,05eef98c-c529-41d6-b1f9-1c3ad69b4e2c,Claudia
Armand,true,create,4355abb2-d245-43ea-82ef-99aa535afe2d,4355abb2-d245-43ea-82ef-99aa535afe2d,Armand
Marco,true,create,c4017499-6346-4bfd-a4af-42380f2e775f,c4017499-6346-4bfd-a4af-42380f2e775f,Marco
Nanou,true,create,eab8bfbd-745c-4653-8cd5-f3f9cf6392ba,eab8bfbd-745c-4653-8cd5-f3f9cf6392ba,Nanou
Evelyne,true,create,9bd49213-ef6c-488b-9133-38b12c757145,9bd49213-ef6c-488b-9133-38b12c757145,Evelyne
Richard,true,create,b5d0435c-77bf-48ea-8819-db69815f0c3e,b5d0435c-77bf-48ea-8819-db69815f0c3e,Richard
Nely,true,create,df203320-8d97-4b1f-8446-7da40b08677a,df203320-8d97-4b1f-8446-7da40b08677a,Nely
Miarisoa,true,create,daf77b38-4c83-4739-970d-8796f3f3c30b,daf77b38-4c83-4739-970d-8796f3f3c30b,Miarisoa
Floriel,true,create,bb5fa1cb-1ddf-4a40-a51b-d52d828217bb,bb5fa1cb-1ddf-4a40-a51b-d52d828217bb,Floriel
Samuel,true,create,82cc13ec-4c6b-4131-acd1-f5c5b8aa7f94,82cc13ec-4c6b-4131-acd1-f5c5b8aa7f94,Samuel
Aubry,true,create,be698c16-01cd-4f1d-9359-4f5a76fd11ab,be698c16-01cd-4f1d-9359-4f5a76fd11ab,Aubry
Raholisoa (Nanou Supply),true,create,32b2ae00-c137-4676-a6ce-684d40acf547,32b2ae00-c137-4676-a6ce-684d40acf547,Raholisoa (Nanou Supply)
TestFuad,true,create,58030f40-937c-4a64-ab54-c34b8f60b328,58030f40-937c-4a64-ab54-c34b8f60b328,TestFuad
TestTeam,true,create,4ba502c6-f31a-471a-bb9b-3a8e1d425066,4ba502c6-f31a-471a-bb9b-3a8e1d425066,TestTeam
A ne pas considérer,true,create,704e8e4c-21be-4fd6-9452-f912390f69bc,704e8e4c-21be-4fd6-9452-f912390f69bc,A ne pas considérer
Francis Educ,true,create,9fc7bf3d-f9c2-402b-8d5d-bd6c6696fd42,9fc7bf3d-f9c2-402b-8d5d-bd6c6696fd42,Francis Educ
NainaR,true,create,17827b1e-2e1b-4698-b001-d2f9aabaa2ad,17827b1e-2e1b-4698-b001-d2f9aabaa2ad,NainaR
Eva Razakamahefa,true,create,708ccdbd-bf9a-4bef-b0c1-10dad1e2d1de,708ccdbd-bf9a-4bef-b0c1-10dad1e2d1de,Eva Razakamahefa
MichaelSD,true,create,291d413c-c8b3-4845-b0d0-51a4468860f4,291d413c-c8b3-4845-b0d0-51a4468860f4,MichaelSD
Zo Amb,true,create,37e712b7-7439-4bc7-98d3-689a57c86d71,37e712b7-7439-4bc7-98d3-689a57c86d71,Zo Amb
Gilles,true,create,ff6f9c17-96ea-474f-9541-f4724bdba838,ff6f9c17-96ea-474f-9541-f4724bdba838,Gilles
Eulalie Lucie RALALAHARIMINO,true,create,8086bfbe-666f-46a5-83e2-886ae0209b0b,8086bfbe-666f-46a5-83e2-886ae0209b0b,Eulalie Lucie RALALAHARIMINO
Chris Ngwa,true,create,e88a10ed-efbc-402f-8361-d8da2fa8768f,e88a10ed-efbc-402f-8361-d8da2fa8768f,Chris Ngwa
Bodo RAKOTOMALALA,true,create,3a169fca-1007-4f1b-a1ae-9ce02479c05e,3a169fca-1007-4f1b-a1ae-9ce02479c05e,Bodo RAKOTOMALALA
Christian ANDRIANJANAKA,true,create,035c399f-3a9a-431b-9008-2efd6b48e663,035c399f-3a9a-431b-9008-2efd6b48e663,Christian ANDRIANJANAKA
Lalaharizaka Andriantsarafara,true,create,a48ad95e-522c-48e1-9db2-1a1ac0951488,a48ad95e-522c-48e1-9db2-1a1ac0951488,Lalaharizaka Andriantsarafara
Angelin Rabezandriny,true,create,926ef046-a4f6-46d6-bff5-f51cc79051b7,926ef046-a4f6-46d6-bff5-f51cc79051b7,Angelin Rabezandriny
Aimé Ionimaminiaina (WASH),true,create,8bccd9e1-04b4-4742-8ff0-8a93c0208a85,8bccd9e1-04b4-4742-8ff0-8a93c0208a85,Aimé Ionimaminiaina (WASH)
Jahdiel KOSSOU (VNU Specialiste),true,create,a7556f17-72ab-47d8-bc38-80e79996530f,a7556f17-72ab-47d8-bc38-80e79996530f,Jahdiel KOSSOU (VNU Specialiste)
Hortencia Be,true,create,b5962ef4-4f78-42c8-a633-80f7736265f6,b5962ef4-4f78-42c8-a633-80f7736265f6,Hortencia Be
Josias Ratsimbazafy,true,create,c899c696-8fa0-4f66-a8f3-562c5f1cfe2a,c899c696-8fa0-4f66-a8f3-562c5f1cfe2a,Josias Ratsimbazafy
Rufine RASOANJANAHARY,true,create,c44d1cb5-ca6e-40d0-b9e7-5f08f0b9cfe8,c44d1cb5-ca6e-40d0-b9e7-5f08f0b9cfe8,Rufine RASOANJANAHARY
